trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,3.0,3.0,137.93,127.93,0,1,-2.23,2.01,-1.84,2.37,cw,10.0,35.0,100.0,1,1,0.7701,0.939
2,20.0,20.0,63.12,73.12,65,0,9.04,17.84,5.81,19.14,ccw,10.0,10.0,100.0,0,1,1.472,1.231
3,20.0,20.0,299.31,289.31,0,1,9.79,-17.44,6.61,-18.88,cw,10.0,10.0,100.0,0,0,1.2279,1.255
4,12.0,12.0,271.48,281.48,0,1,0.31,-12.0,2.39,-11.76,ccw,10.0,35.0,100.0,1,1,0.9142,1.907
5,3.0,3.0,305.55,315.55,0,1,1.74,-2.44,2.14,-2.1,ccw,10.0,35.0,100.0,1,1,0.7688,1.679
6,12.0,12.0,20.01,30.01,0,1,11.28,4.11,10.39,6.0,ccw,10.0,35.0,100.0,1,1,1.5331,1.466
7,20.0,20.0,259.36,269.36,115,0,-3.69,-19.66,-0.22,-20.0,ccw,10.0,10.0,100.0,0,1,1.22,1.444
8,20.0,20.0,101.53,91.53,140,0,-4.0,19.6,-0.53,19.99,cw,10.0,10.0,100.0,0,1,1.1196,1.774
9,3.0,3.0,121.87,111.87,0,1,-1.58,2.55,-1.12,2.78,cw,10.0,35.0,100.0,1,1,0.8476,1.821
10,6.0,6.0,5.31,355.31,65,0,5.97,0.56,5.98,-0.49,cw,10.0,35.0,100.0,0,1,0.8997,1.959
11,20.0,20.0,166.8,156.8,0,1,-19.47,4.57,-18.38,7.88,cw,10.0,35.0,100.0,1,1,0.9461,1.983
12,6.0,6.0,190.25,200.25,115,0,-5.9,-1.07,-5.63,-2.08,ccw,10.0,35.0,100.0,0,1,0.9694,1.637
13,20.0,20.0,113.96,123.96,0,1,-8.12,18.28,-11.17,16.59,ccw,10.0,10.0,100.0,0,0,1.7283,1.925
14,6.0,6.0,46.31,56.31,65,0,4.14,4.34,3.33,4.99,ccw,10.0,35.0,100.0,0,1,0.875,1.662
15,12.0,12.0,151.06,161.06,0,1,-10.5,5.81,-11.35,3.89,ccw,10.0,35.0,100.0,1,1,0.9254,1.838
16,16.0,16.0,302.27,292.27,0,1,8.54,-13.53,6.06,-14.81,cw,10.0,35.0,100.0,1,1,1.0543,1.879
17,16.0,16.0,48.68,58.68,65,0,10.56,12.02,8.32,13.67,ccw,10.0,35.0,100.0,0,1,0.9031,2.115
18,20.0,20.0,100.57,110.57,0,1,-3.67,19.66,-7.03,18.72,ccw,10.0,10.0,100.0,0,0,1.1386,1.643
