trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
55,20.0,20.0,199.49,189.49,0,1,-18.85,-6.67,-19.73,-3.3,cw,10.0,35.0,300.0,1,1,1.2244,0.825
56,3.0,3.0,112.93,122.93,40,0,-1.17,2.76,-1.63,2.52,ccw,10.0,35.0,300.0,0,1,1.2118,0.723
57,12.0,12.0,248.74,238.74,40,0,-4.35,-11.18,-6.23,-10.26,cw,10.0,35.0,300.0,0,1,1.1471,0.999
58,20.0,20.0,358.6,8.6,0,1,19.99,-0.49,19.78,2.99,ccw,10.0,35.0,300.0,1,1,1.2822,0.499
59,6.0,6.0,192.58,202.58,65,0,-5.86,-1.31,-5.54,-2.3,ccw,10.0,35.0,300.0,0,1,1.283,0.302
60,12.0,12.0,17.24,7.24,0,1,11.46,3.56,11.9,1.51,cw,10.0,35.0,300.0,1,1,1.0784,0.711
61,3.0,3.0,133.17,143.17,0,1,-2.05,2.19,-2.4,1.8,ccw,10.0,35.0,300.0,1,1,1.8839,0.482
62,6.0,6.0,184.01,174.01,140,0,-5.99,-0.42,-5.97,0.63,cw,10.0,35.0,300.0,0,1,1.2347,0.74
63,6.0,6.0,351.41,341.41,0,1,5.93,-0.9,5.69,-1.91,cw,10.0,35.0,300.0,1,1,1.2629,0.811
64,6.0,6.0,259.95,249.95,115,0,-1.05,-5.91,-2.06,-5.64,cw,10.0,35.0,300.0,0,1,1.2003,0.614
65,3.0,3.0,242.37,252.37,0,1,-1.39,-2.66,-0.91,-2.86,ccw,10.0,35.0,300.0,1,1,1.0584,0.497
66,20.0,20.0,202.35,212.35,140,0,-18.5,-7.6,-16.9,-10.7,ccw,10.0,35.0,300.0,0,1,1.3747,0.195
67,12.0,12.0,249.58,259.58,65,0,-4.19,-11.25,-2.17,-11.8,ccw,10.0,35.0,300.0,0,1,1.3494,0.613
68,16.0,16.0,335.97,345.97,140,0,14.61,-6.52,15.52,-3.88,ccw,10.0,35.0,300.0,0,1,1.1721,0.458
69,12.0,12.0,233.52,223.52,0,1,-7.13,-9.65,-8.7,-8.26,cw,10.0,35.0,300.0,1,1,1.2379,0.6
70,12.0,12.0,241.01,231.01,0,1,-5.82,-10.5,-7.55,-9.33,cw,10.0,35.0,300.0,1,1,1.4584,0.809
71,16.0,16.0,336.73,326.73,65,0,14.7,-6.32,13.38,-8.78,cw,10.0,35.0,300.0,0,1,1.2686,0.577
72,3.0,3.0,77.29,67.29,65,0,0.66,2.93,1.16,2.77,cw,10.0,35.0,300.0,0,1,1.1178,0.93
73,6.0,6.0,294.12,304.12,0,1,2.45,-5.48,3.37,-4.97,ccw,10.0,35.0,300.0,1,1,1.1308,0.759
74,3.0,3.0,40.34,30.34,140,0,2.29,1.94,2.59,1.52,cw,10.0,35.0,300.0,0,1,1.227,0.526
75,20.0,20.0,44.01,54.01,140,0,14.39,13.89,11.75,16.18,ccw,10.0,35.0,300.0,0,1,1.5489,0.668
76,16.0,16.0,179.56,189.56,0,1,-16.0,0.12,-15.78,-2.66,ccw,10.0,35.0,300.0,1,1,1.2275,1.042
77,12.0,12.0,145.88,135.88,0,1,-9.93,6.73,-8.61,8.35,cw,10.0,35.0,300.0,1,1,1.3477,0.63
78,16.0,16.0,8.03,18.03,115,0,15.84,2.23,15.21,4.95,ccw,10.0,35.0,300.0,0,1,1.2106,0.677
79,3.0,3.0,305.65,315.65,40,0,1.75,-2.44,2.15,-2.1,ccw,10.0,35.0,300.0,0,1,1.2939,1.084
80,20.0,20.0,22.06,32.06,40,0,18.54,7.51,16.95,10.62,ccw,10.0,35.0,300.0,0,1,1.508,0.466
81,12.0,12.0,176.01,186.01,140,0,-11.97,0.84,-11.93,-1.26,ccw,10.0,35.0,300.0,0,1,1.2599,1.202
82,20.0,20.0,11.21,21.21,0,1,19.62,3.89,18.65,7.23,ccw,10.0,35.0,300.0,1,1,1.3426,0.331
