trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,12.0,12.0,143.87,133.87,140,0,-9.69,7.08,-8.32,8.65,cw,10.0,35.0,0.0,0,1,0.8886,0.789
2,20.0,20.0,29.93,39.93,65,0,17.33,9.98,15.34,12.84,ccw,10.0,35.0,0.0,0,1,1.0697,0.3
3,3.0,3.0,328.88,338.88,40,0,2.57,-1.55,2.8,-1.08,ccw,10.0,35.0,0.0,0,1,0.8142,0.442
4,16.0,16.0,19.15,9.15,0,1,15.11,5.25,15.8,2.54,cw,10.0,35.0,0.0,1,1,0.7994,0.826
5,3.0,3.0,27.9,17.9,115,0,2.65,1.4,2.85,0.92,cw,10.0,35.0,0.0,0,1,0.8236,0.495
6,16.0,16.0,28.14,18.14,115,0,14.11,7.55,15.2,4.98,cw,10.0,35.0,0.0,0,1,1.0126,0.526
7,16.0,16.0,52.59,42.59,115,0,9.72,12.71,11.78,10.83,cw,10.0,35.0,0.0,0,1,1.0048,0.44
8,20.0,20.0,270.98,280.98,0,1,0.34,-20.0,3.81,-19.63,ccw,10.0,10.0,0.0,0,0,0.9847,0.525
9,20.0,20.0,59.85,69.85,0,1,10.05,17.29,6.89,18.78,ccw,10.0,10.0,0.0,0,0,0.8733,0.336
10,6.0,6.0,237.41,247.41,0,1,-3.23,-5.06,-2.3,-5.54,ccw,10.0,35.0,0.0,1,1,0.8082,0.391
11,12.0,12.0,279.35,289.35,115,0,1.95,-11.84,3.98,-11.32,ccw,10.0,35.0,0.0,0,1,0.8225,0.376
12,12.0,12.0,57.53,67.53,0,1,6.44,10.12,4.59,11.09,ccw,10.0,35.0,0.0,1,1,0.8126,0.494
13,6.0,6.0,111.11,101.11,0,1,-2.16,5.6,-1.16,5.89,cw,10.0,35.0,0.0,1,1,0.79,0.402
14,12.0,12.0,99.56,89.56,40,0,-1.99,11.83,0.09,12.0,cw,10.0,35.0,0.0,0,1,0.7764,0.635
15,16.0,16.0,67.47,57.47,40,0,6.13,14.78,8.6,13.49,cw,10.0,35.0,0.0,0,1,0.9445,0.525
16,16.0,16.0,273.64,263.64,65,0,1.02,-15.97,-1.77,-15.9,cw,10.0,35.0,0.0,0,1,1.0052,0.519
17,20.0,20.0,278.39,288.39,140,0,2.92,-19.79,6.31,-18.98,ccw,10.0,10.0,0.0,0,1,0.9517,0.633
18,12.0,12.0,63.17,73.17,0,1,5.42,10.71,3.47,11.49,ccw,10.0,35.0,0.0,1,1,0.744,0.66
19,6.0,6.0,295.2,285.2,0,1,2.55,-5.43,1.57,-5.79,cw,10.0,35.0,0.0,1,1,0.7229,0.813
20,6.0,6.0,146.46,156.46,0,1,-5.0,3.32,-5.5,2.4,ccw,10.0,35.0,0.0,1,1,0.7648,0.691
21,12.0,12.0,7.68,357.68,0,1,11.89,1.6,11.99,-0.49,cw,10.0,35.0,0.0,1,1,0.8081,1.043
22,20.0,20.0,72.37,62.37,65,0,6.06,19.06,9.28,17.72,cw,10.0,10.0,0.0,0,1,1.4761,0.817
23,12.0,12.0,320.5,310.5,0,1,9.26,-7.63,7.79,-9.13,cw,10.0,35.0,0.0,1,1,0.95,0.608
24,3.0,3.0,158.87,148.87,0,1,-2.8,1.08,-2.57,1.55,cw,10.0,35.0,0.0,1,1,0.6596,0.657
25,16.0,16.0,246.07,256.07,0,1,-6.49,-14.62,-3.85,-15.53,ccw,10.0,35.0,0.0,1,1,0.7547,0.758
26,20.0,20.0,134.77,124.77,115,0,-14.09,14.2,-11.41,16.43,cw,10.0,35.0,0.0,0,1,0.8178,0.85
27,6.0,6.0,343.02,333.02,115,0,5.74,-1.75,5.35,-2.72,cw,10.0,35.0,0.0,0,1,0.9159,0.541
28,6.0,6.0,199.7,209.7,0,1,-5.65,-2.02,-5.21,-2.97,ccw,10.0,35.0,0.0,1,1,0.719,0.705
29,20.0,20.0,18.02,28.02,65,0,19.02,6.19,17.66,9.39,ccw,10.0,35.0,0.0,0,1,0.8693,0.534
30,6.0,6.0,92.05,102.05,140,0,-0.22,6.0,-1.25,5.87,ccw,10.0,35.0,0.0,0,1,0.8156,0.594
31,6.0,6.0,177.08,167.08,40,0,-5.99,0.31,-5.85,1.34,cw,10.0,35.0,0.0,0,1,0.7308,0.77
32,3.0,3.0,306.35,296.35,65,0,1.78,-2.42,1.33,-2.69,cw,10.0,35.0,0.0,0,1,0.8146,0.593
33,20.0,20.0,88.03,98.03,0,1,0.69,19.99,-2.8,19.8,ccw,10.0,10.0,0.0,0,0,0.8895,0.785
34,6.0,6.0,159.49,149.49,140,0,-5.62,2.1,-5.17,3.05,cw,10.0,35.0,0.0,0,1,0.7593,0.597
35,3.0,3.0,347.75,337.75,0,1,2.93,-0.64,2.78,-1.14,cw,10.0,35.0,0.0,1,1,0.6201,0.763
36,20.0,20.0,53.39,63.39,0,1,11.93,16.05,8.96,17.88,ccw,10.0,35.0,0.0,0,0,1.138,0.606
37,6.0,6.0,169.92,159.92,40,0,-5.91,1.05,-5.64,2.06,cw,10.0,35.0,0.0,0,1,0.8592,0.756
38,12.0,12.0,115.13,125.13,0,1,-5.1,10.86,-6.9,9.81,ccw,10.0,35.0,0.0,1,1,0.7676,0.682
39,3.0,3.0,121.19,111.19,0,1,-1.55,2.57,-1.08,2.8,cw,10.0,35.0,0.0,1,1,0.7559,0.528
40,16.0,16.0,21.06,31.06,65,0,14.93,5.75,13.71,8.25,ccw,10.0,35.0,0.0,0,1,0.8484,0.658
41,16.0,16.0,231.62,221.62,0,1,-9.93,-12.54,-11.96,-10.63,cw,10.0,35.0,0.0,1,1,0.6868,0.519
42,6.0,6.0,53.94,43.94,0,1,3.53,4.85,4.32,4.16,cw,10.0,35.0,0.0,1,1,0.7222,0.472
43,20.0,20.0,40.96,30.96,65,0,15.1,13.11,17.15,10.29,cw,10.0,35.0,0.0,0,1,0.9173,0.662
44,12.0,12.0,222.36,232.36,140,0,-8.87,-8.08,-7.33,-9.5,ccw,10.0,35.0,0.0,0,1,0.7415,0.719
45,20.0,20.0,112.85,102.85,65,0,-7.77,18.43,-4.45,19.5,cw,10.0,10.0,0.0,0,1,0.9095,0.798
46,20.0,20.0,155.19,145.19,0,1,-18.15,8.39,-16.42,11.42,cw,10.0,35.0,0.0,1,1,0.832,0.82
47,16.0,16.0,238.87,228.87,140,0,-8.27,-13.7,-10.52,-12.05,cw,10.0,35.0,0.0,0,1,0.8092,0.805
48,16.0,16.0,194.35,204.35,0,1,-15.5,-3.96,-14.58,-6.6,ccw,10.0,35.0,0.0,1,1,1.2007,0.841
49,16.0,16.0,294.01,284.01,0,1,6.51,-14.62,3.87,-15.52,cw,10.0,35.0,0.0,1,1,0.6936,0.541
50,3.0,3.0,334.67,344.67,0,1,2.71,-1.28,2.89,-0.79,ccw,10.0,35.0,0.0,1,1,0.7634,0.649
51,3.0,3.0,75.84,65.84,0,1,0.73,2.91,1.23,2.74,cw,10.0,35.0,0.0,1,1,0.687,0.517
