trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,6.0,6.0,345.07,335.07,65,0,5.8,-1.55,5.44,-2.53,cw,10.0,35.0,300.0,0,1,2.3255,2.597
2,6.0,6.0,308.46,298.46,0,1,3.73,-4.7,2.86,-5.28,cw,10.0,35.0,300.0,1,1,1.1274,0.959
3,3.0,3.0,187.49,177.49,0,1,-2.97,-0.39,-3.0,0.13,cw,10.0,35.0,300.0,1,1,1.141,0.615
4,20.0,20.0,129.71,139.71,0,1,-12.78,15.38,-15.26,12.93,ccw,10.0,35.0,300.0,0,0,2.2234,0.279
5,12.0,12.0,168.84,178.84,115,0,-11.77,2.32,-12.0,0.24,ccw,10.0,35.0,300.0,0,1,1.5705,0.214
6,20.0,20.0,178.1,188.1,140,0,-19.99,0.66,-19.8,-2.82,ccw,10.0,35.0,300.0,0,1,1.7947,0.485
7,12.0,12.0,30.47,40.47,140,0,10.34,6.08,9.13,7.79,ccw,10.0,35.0,300.0,0,1,1.3809,0.284
8,16.0,16.0,91.32,81.32,140,0,-0.37,16.0,2.41,15.82,cw,10.0,35.0,300.0,0,1,1.6679,0.454
9,6.0,6.0,61.66,51.66,140,0,2.85,5.28,3.72,4.71,cw,10.0,35.0,300.0,0,1,1.2494,5.466
10,16.0,16.0,57.84,67.84,65,0,8.52,13.54,6.04,14.82,ccw,10.0,35.0,300.0,0,1,1.4746,5.886
11,3.0,3.0,168.61,158.61,115,0,-2.94,0.59,-2.79,1.09,cw,10.0,35.0,300.0,0,1,1.2438,0.961
12,20.0,20.0,326.33,336.33,140,0,16.65,-11.09,18.32,-8.03,ccw,10.0,35.0,300.0,0,1,1.3424,2.221
13,3.0,3.0,236.97,226.97,0,1,-1.64,-2.52,-2.05,-2.19,cw,10.0,35.0,300.0,1,1,1.1653,0.629
