trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,16.0,16.0,36.46,46.46,40,0,12.87,9.51,11.02,11.6,ccw,10.0,35.0,0.0,0,1,1.3682,0.914
2,20.0,20.0,188.25,178.25,65,0,-19.79,-2.87,-19.99,0.61,cw,10.0,35.0,0.0,0,1,1.6936,1.168
3,6.0,6.0,56.49,66.49,140,0,3.31,5.0,2.39,5.5,ccw,10.0,35.0,0.0,0,1,1.4148,0.969
4,12.0,12.0,51.81,41.81,40,0,7.42,9.43,8.94,8.0,cw,10.0,35.0,0.0,0,1,1.2093,0.888
5,3.0,3.0,117.0,107.0,115,0,-1.36,2.67,-0.88,2.87,cw,10.0,35.0,0.0,0,1,1.349,1.284
6,6.0,6.0,318.66,308.66,140,0,4.5,-3.96,3.75,-4.69,cw,10.0,35.0,0.0,0,1,1.7587,1.034
7,16.0,16.0,66.9,56.9,0,1,6.28,14.72,8.74,13.4,cw,10.0,35.0,0.0,1,1,1.7252,0.8
8,16.0,16.0,10.45,20.45,0,1,15.73,2.9,14.99,5.59,ccw,10.0,35.0,0.0,1,1,1.1444,1.432
9,12.0,12.0,191.09,201.09,140,0,-11.78,-2.31,-11.2,-4.32,ccw,10.0,35.0,0.0,0,1,1.1875,2.273
10,3.0,3.0,115.97,125.97,0,1,-1.31,2.7,-1.76,2.43,ccw,10.0,35.0,0.0,1,1,1.2218,1.502
11,6.0,6.0,218.77,208.77,140,0,-4.68,-3.76,-5.26,-2.89,cw,10.0,35.0,0.0,0,1,1.2268,0.803
12,6.0,6.0,39.56,49.56,140,0,4.63,3.82,3.89,4.57,ccw,10.0,35.0,0.0,0,1,1.1805,0.782
13,3.0,3.0,96.92,106.92,140,0,-0.36,2.98,-0.87,2.87,ccw,10.0,35.0,0.0,0,1,1.2347,1.115
14,6.0,6.0,346.21,336.21,0,1,5.83,-1.43,5.49,-2.42,cw,10.0,35.0,0.0,1,1,1.36,0.794
