trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,6.0,6.0,342.59,352.59,0,1,5.72,-1.8,5.95,-0.77,ccw,10.0,35.0,0.0,1,1,1.7495,1.032
2,3.0,3.0,154.82,144.82,0,1,-2.71,1.28,-2.45,1.73,cw,10.0,35.0,0.0,1,1,1.1054,0.694
3,6.0,6.0,242.35,232.35,65,0,-2.78,-5.31,-3.67,-4.75,cw,10.0,35.0,0.0,0,1,1.1841,0.653
4,3.0,3.0,88.8,98.8,115,0,0.06,3.0,-0.46,2.96,ccw,10.0,35.0,0.0,0,1,1.155,0.817
5,6.0,6.0,353.61,3.61,0,1,5.96,-0.67,5.99,0.38,ccw,10.0,35.0,0.0,1,1,1.1426,0.591
6,6.0,6.0,84.93,74.93,65,0,0.53,5.98,1.56,5.79,cw,10.0,35.0,0.0,0,1,1.1811,0.679
7,12.0,12.0,232.58,222.58,0,1,-7.29,-9.53,-8.84,-8.12,cw,10.0,35.0,0.0,1,1,1.4202,0.781
8,12.0,12.0,295.07,285.07,65,0,5.09,-10.87,3.12,-11.59,cw,10.0,35.0,0.0,0,1,1.0916,0.701
9,20.0,20.0,58.99,68.99,0,1,10.3,17.14,7.17,18.67,ccw,10.0,10.0,0.0,0,0,1.7698,0.833
10,20.0,20.0,231.99,221.99,0,1,-12.32,-15.76,-14.86,-13.38,cw,10.0,35.0,0.0,1,1,1.4418,0.65
11,3.0,3.0,211.26,221.26,0,1,-2.56,-1.56,-2.26,-1.98,ccw,10.0,35.0,0.0,1,1,1.2552,0.549
12,6.0,6.0,4.83,14.83,0,1,5.98,0.5,5.8,1.54,ccw,10.0,35.0,0.0,1,1,1.5641,0.373
13,16.0,16.0,140.49,150.49,0,1,-12.34,10.18,-13.92,7.88,ccw,10.0,35.0,0.0,0,0,1.9499,0.471
14,3.0,3.0,304.77,294.77,140,0,1.71,-2.46,1.26,-2.72,cw,10.0,35.0,0.0,0,1,2.0079,0.594
15,3.0,3.0,294.15,304.15,0,1,1.23,-2.74,1.68,-2.48,ccw,10.0,35.0,0.0,1,1,1.414,0.582
16,16.0,16.0,178.03,188.03,0,1,-15.99,0.55,-15.84,-2.24,ccw,10.0,35.0,0.0,1,1,1.7226,0.665
17,3.0,3.0,122.14,132.14,140,0,-1.6,2.54,-2.01,2.22,ccw,10.0,35.0,0.0,0,1,1.0407,0.387
18,3.0,3.0,11.52,21.52,0,1,2.94,0.6,2.79,1.1,ccw,10.0,35.0,0.0,1,1,0.9298,0.51
19,16.0,16.0,239.6,249.6,0,1,-8.1,-13.8,-5.58,-15.0,ccw,10.0,35.0,0.0,1,1,1.5563,0.603
20,6.0,6.0,91.25,81.25,115,0,-0.13,6.0,0.91,5.93,cw,10.0,35.0,0.0,0,1,1.7555,0.71
