trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,20.0,20.0,98.61,88.61,115,0,-2.99,19.77,0.48,19.99,cw,10.0,10.0,300.0,0,1,3.6917,2.295
2,12.0,12.0,236.11,246.11,140,0,-6.69,-9.96,-4.86,-10.97,ccw,10.0,35.0,300.0,0,1,1.274,2.077
3,6.0,6.0,138.77,148.77,140,0,-4.51,3.95,-5.13,3.11,ccw,10.0,35.0,300.0,0,1,1.022,2.338
4,16.0,16.0,113.43,103.43,0,1,-6.36,14.68,-3.72,15.56,cw,10.0,35.0,300.0,1,1,1.6373,2.239
5,16.0,16.0,200.03,210.03,0,1,-15.03,-5.48,-13.85,-8.01,ccw,10.0,35.0,300.0,0,0,1.2684,2.213
6,12.0,12.0,106.54,116.54,65,0,-3.42,11.5,-5.36,10.74,ccw,10.0,35.0,300.0,0,1,0.9598,2.296
7,12.0,12.0,352.41,2.41,0,1,11.89,-1.58,11.99,0.5,ccw,10.0,35.0,300.0,1,1,0.9706,2.925
8,3.0,3.0,100.27,110.27,0,1,-0.53,2.95,-1.04,2.81,ccw,10.0,35.0,300.0,1,1,1.1081,2.86
9,12.0,12.0,213.9,203.9,0,1,-9.96,-6.69,-10.97,-4.86,cw,10.0,35.0,300.0,1,1,1.0326,2.806
10,16.0,16.0,345.57,355.57,40,0,15.5,-3.99,15.95,-1.24,ccw,10.0,35.0,300.0,0,1,0.9256,2.615
11,12.0,12.0,263.12,253.12,0,1,-1.44,-11.91,-3.49,-11.48,cw,10.0,35.0,300.0,1,1,0.8852,3.281
12,20.0,20.0,226.51,216.51,0,1,-13.76,-14.51,-16.07,-11.9,cw,10.0,35.0,300.0,1,1,0.9472,3.362
13,3.0,3.0,212.59,202.59,0,1,-2.53,-1.62,-2.77,-1.15,cw,10.0,35.0,300.0,1,1,1.0054,3.32
14,3.0,3.0,210.23,220.23,40,0,-2.59,-1.51,-2.29,-1.94,ccw,10.0,35.0,300.0,0,1,0.88,3.264
15,20.0,20.0,36.82,26.82,0,1,16.01,11.99,17.85,9.02,cw,10.0,35.0,300.0,0,0,1.3161,3.255
16,12.0,12.0,54.29,64.29,0,1,7.0,9.74,5.21,10.81,ccw,10.0,35.0,300.0,1,1,1.0169,3.295
17,20.0,20.0,26.51,16.51,40,0,17.9,8.93,19.18,5.68,cw,10.0,35.0,300.0,0,1,1.0707,2.744
18,6.0,6.0,45.26,35.26,0,1,4.22,4.26,4.9,3.46,cw,10.0,35.0,300.0,1,1,0.943,3.013
19,3.0,3.0,173.98,163.98,0,1,-2.98,0.31,-2.88,0.83,cw,10.0,35.0,300.0,1,1,0.8872,3.415
20,6.0,6.0,70.97,80.97,0,1,1.96,5.67,0.94,5.93,ccw,10.0,35.0,300.0,1,1,0.8297,3.034
21,6.0,6.0,91.86,101.86,40,0,-0.19,6.0,-1.23,5.87,ccw,10.0,35.0,300.0,0,1,0.7977,3.039
