trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,12.0,12.0,258.22,268.22,40,0,-2.45,-11.75,-0.37,-11.99,ccw,10.0,35.0,200.0,0,1,0.796,0.195
2,20.0,20.0,167.85,177.85,0,1,-19.55,4.21,-19.99,0.75,ccw,10.0,35.0,200.0,0,0,0.9027,0.06
3,6.0,6.0,64.09,54.09,0,1,2.62,5.4,3.52,4.86,cw,10.0,35.0,200.0,1,1,0.7351,0.08
4,3.0,3.0,221.09,231.09,65,0,-2.26,-1.97,-1.88,-2.33,ccw,10.0,35.0,200.0,0,1,0.8446,0.346
5,12.0,12.0,111.24,121.24,140,0,-4.35,11.18,-6.22,10.26,ccw,10.0,35.0,200.0,0,1,0.8454,0.356
6,6.0,6.0,39.99,49.99,0,1,4.6,3.86,3.86,4.6,ccw,10.0,35.0,200.0,1,1,0.807,0.279
7,16.0,16.0,176.45,186.45,0,1,-15.97,0.99,-15.9,-1.8,ccw,10.0,35.0,200.0,1,1,0.9051,0.32
8,16.0,16.0,337.71,347.71,0,1,14.8,-6.07,15.63,-3.4,ccw,10.0,35.0,200.0,1,1,1.0879,0.186
9,3.0,3.0,348.27,338.27,115,0,2.94,-0.61,2.79,-1.11,cw,10.0,35.0,200.0,0,1,0.8393,0.17
10,3.0,3.0,264.92,274.92,140,0,-0.27,-2.99,0.26,-2.99,ccw,10.0,35.0,200.0,0,1,0.8348,0.39
11,16.0,16.0,192.77,202.77,65,0,-15.6,-3.54,-14.75,-6.19,ccw,10.0,35.0,200.0,0,1,0.8614,0.319
12,3.0,3.0,294.77,284.77,40,0,1.26,-2.72,0.76,-2.9,cw,10.0,35.0,200.0,0,1,0.9043,0.285
13,3.0,3.0,114.83,124.83,0,1,-1.26,2.72,-1.71,2.46,ccw,10.0,35.0,200.0,1,1,0.7751,0.18
14,16.0,16.0,63.76,53.76,0,1,7.08,14.35,9.46,12.9,cw,10.0,35.0,200.0,1,1,0.8395,0.253
15,12.0,12.0,170.92,160.92,0,1,-11.85,1.89,-11.34,3.92,cw,10.0,35.0,200.0,1,1,0.8674,0.409
16,12.0,12.0,289.01,299.01,0,1,3.91,-11.35,5.82,-10.49,ccw,10.0,35.0,200.0,1,1,0.803,1.006
17,6.0,6.0,231.52,221.52,65,0,-3.73,-4.7,-4.49,-3.98,cw,10.0,35.0,200.0,0,1,0.8668,0.587
18,20.0,20.0,287.65,297.65,40,0,6.06,-19.06,9.28,-17.72,ccw,10.0,10.0,200.0,0,1,1.1759,0.371
19,16.0,16.0,38.18,28.18,0,1,12.58,9.89,14.1,7.56,cw,10.0,35.0,200.0,1,1,0.8051,0.298
20,3.0,3.0,140.14,150.14,40,0,-2.3,1.92,-2.6,1.49,ccw,10.0,35.0,200.0,0,1,0.8122,0.284
21,20.0,20.0,90.28,100.28,0,1,-0.1,20.0,-3.57,19.68,ccw,10.0,10.0,200.0,0,0,1.0727,0.189
22,20.0,20.0,220.29,230.29,0,1,-15.26,-12.93,-12.78,-15.39,ccw,10.0,35.0,200.0,1,1,0.869,0.298
23,3.0,3.0,264.8,254.8,0,1,-0.27,-2.99,-0.79,-2.89,cw,10.0,35.0,200.0,1,1,0.7805,0.276
24,12.0,12.0,117.63,127.63,140,0,-5.56,10.63,-7.33,9.5,ccw,10.0,35.0,200.0,0,1,0.9484,0.519
25,12.0,12.0,45.99,55.99,0,1,8.34,8.63,6.71,9.95,ccw,10.0,35.0,200.0,1,1,0.9683,0.616
26,16.0,16.0,30.93,20.93,115,0,13.73,8.22,14.94,5.72,cw,10.0,35.0,200.0,0,1,1.1117,0.977
27,20.0,20.0,96.66,106.66,115,0,-2.32,19.87,-5.73,19.16,ccw,10.0,10.0,200.0,0,1,1.0722,0.512
28,12.0,12.0,318.48,308.48,0,1,8.99,-7.95,7.47,-9.39,cw,10.0,35.0,200.0,1,1,0.7719,0.518
29,16.0,16.0,294.78,284.78,140,0,6.71,-14.53,4.08,-15.47,cw,10.0,35.0,200.0,0,1,0.8436,3.515
30,6.0,6.0,23.26,13.26,40,0,5.51,2.37,5.84,1.38,cw,10.0,35.0,200.0,0,1,0.937,0.464
31,20.0,20.0,288.25,298.25,0,1,6.26,-18.99,9.47,-17.62,ccw,10.0,10.0,200.0,0,0,1.0329,0.482
32,16.0,16.0,235.06,225.06,0,1,-9.16,-13.12,-11.3,-11.32,cw,10.0,35.0,200.0,1,1,0.8312,0.2
33,6.0,6.0,14.32,4.32,0,1,5.81,1.48,5.98,0.45,cw,10.0,35.0,200.0,1,1,0.9092,2.67
34,6.0,6.0,185.87,195.87,40,0,-5.97,-0.61,-5.77,-1.64,ccw,10.0,35.0,200.0,0,1,0.9907,4.969
35,3.0,3.0,259.7,249.7,0,1,-0.54,-2.95,-1.04,-2.81,cw,10.0,35.0,200.0,1,1,0.8472,1.02
36,20.0,20.0,318.66,308.66,65,0,15.02,-13.21,12.49,-15.62,cw,10.0,35.0,200.0,0,1,0.8914,0.654
37,20.0,20.0,324.7,334.7,40,0,16.32,-11.56,18.08,-8.55,ccw,10.0,35.0,200.0,0,1,0.871,2.081
38,6.0,6.0,11.37,1.37,0,1,5.88,1.18,6.0,0.14,cw,10.0,35.0,200.0,1,1,0.847,1.962
39,12.0,12.0,20.25,10.25,65,0,11.26,4.15,11.81,2.13,cw,10.0,35.0,200.0,0,1,0.9631,5.693
40,3.0,3.0,323.38,333.38,0,1,2.41,-1.79,2.68,-1.34,ccw,10.0,35.0,200.0,1,1,0.8172,0.392
41,20.0,20.0,140.9,150.9,115,0,-15.52,12.61,-17.48,9.73,ccw,10.0,35.0,200.0,0,1,1.0209,0.159
42,3.0,3.0,106.88,116.88,115,0,-0.87,2.87,-1.36,2.68,ccw,10.0,35.0,200.0,0,1,0.9018,0.329
43,16.0,16.0,148.15,138.15,65,0,-13.59,8.44,-11.92,10.67,cw,10.0,35.0,200.0,0,1,1.0171,0.581
44,16.0,16.0,257.84,247.84,0,1,-3.37,-15.64,-6.04,-14.82,cw,10.0,35.0,200.0,1,1,0.8677,0.644
45,20.0,20.0,230.7,220.7,0,1,-12.67,-15.48,-15.16,-13.04,cw,10.0,35.0,200.0,1,1,0.8987,7.494
46,16.0,16.0,176.76,166.76,0,1,-15.97,0.9,-15.57,3.66,cw,10.0,35.0,200.0,1,1,0.9049,1.128
47,6.0,6.0,175.5,165.5,0,1,-5.98,0.47,-5.81,1.5,cw,10.0,35.0,200.0,1,1,0.9185,4.831
48,20.0,20.0,38.69,48.69,0,1,15.61,12.5,13.2,15.02,ccw,10.0,35.0,200.0,1,1,0.9484,0.362
49,12.0,12.0,29.89,19.89,0,1,10.4,5.98,11.28,4.08,cw,10.0,35.0,200.0,1,1,0.7862,16.957
50,12.0,12.0,260.51,270.51,40,0,-1.98,-11.84,0.11,-12.0,ccw,10.0,35.0,200.0,0,1,0.8626,0.372
51,12.0,12.0,336.98,346.98,115,0,11.04,-4.69,11.69,-2.7,ccw,10.0,35.0,200.0,0,1,0.9064,0.4
52,3.0,3.0,342.18,352.18,140,0,2.86,-0.92,2.97,-0.41,ccw,10.0,35.0,200.0,0,1,0.9231,0.298
