trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,16.0,16.0,128.9,138.9,40,0,-10.05,12.45,-12.06,10.52,ccw,10.0,35.0,200.0,0,1,1.1199,5.573
2,6.0,6.0,148.56,138.56,115,0,-5.12,3.13,-4.5,3.97,cw,10.0,35.0,200.0,0,1,0.6937,1.182
3,3.0,3.0,95.67,105.67,0,1,-0.3,2.99,-0.81,2.89,ccw,10.0,35.0,200.0,0,0,0.6093,1.04
4,20.0,20.0,131.52,141.52,140,0,-13.26,14.97,-15.66,12.44,ccw,10.0,35.0,200.0,0,1,0.7376,0.556
5,3.0,3.0,159.68,169.68,0,1,-2.81,1.04,-2.95,0.54,ccw,10.0,35.0,200.0,1,1,0.6599,0.797
6,6.0,6.0,236.05,246.05,0,1,-3.35,-4.98,-2.44,-5.48,ccw,10.0,35.0,200.0,1,1,0.5981,0.479
7,3.0,3.0,210.0,220.0,140,0,-2.6,-1.5,-2.3,-1.93,ccw,10.0,35.0,200.0,1,0,0.6504,0.84
8,20.0,20.0,27.02,17.02,0,1,17.82,9.09,19.12,5.85,cw,10.0,35.0,200.0,0,0,0.6802,0.675
9,12.0,12.0,327.88,317.88,140,0,10.16,-6.38,8.9,-8.05,cw,10.0,35.0,200.0,0,1,0.6682,0.88
10,3.0,3.0,250.53,240.53,65,0,-1.0,-2.83,-1.48,-2.61,cw,10.0,35.0,200.0,0,1,0.6628,0.991
11,3.0,3.0,200.82,190.82,0,1,-2.8,-1.07,-2.95,-0.56,cw,10.0,35.0,200.0,1,1,0.6195,0.809
12,3.0,3.0,129.75,139.75,0,1,-1.92,2.31,-2.29,1.94,ccw,10.0,35.0,200.0,1,1,0.647,0.737
13,6.0,6.0,326.08,336.08,65,0,4.98,-3.35,5.48,-2.43,ccw,10.0,35.0,200.0,0,1,0.6081,0.754
14,3.0,3.0,325.78,315.78,65,0,2.48,-1.69,2.15,-2.09,cw,10.0,35.0,200.0,0,1,0.5577,0.637
15,16.0,16.0,162.06,172.06,65,0,-15.22,4.93,-15.85,2.21,ccw,10.0,35.0,200.0,0,1,0.6726,0.59
16,20.0,20.0,311.11,301.11,65,0,13.15,-15.07,10.33,-17.12,cw,10.0,35.0,200.0,0,1,0.7373,0.786
17,16.0,16.0,341.56,351.56,0,1,15.18,-5.06,15.83,-2.35,ccw,10.0,35.0,200.0,1,1,1.3717,0.622
18,16.0,16.0,111.85,101.85,0,1,-5.96,14.85,-3.29,15.66,cw,10.0,35.0,200.0,0,0,0.6149,0.819
19,3.0,3.0,289.14,279.14,0,1,0.98,-2.83,0.48,-2.96,cw,10.0,35.0,200.0,1,1,1.4362,0.75
20,6.0,6.0,200.09,190.09,0,1,-5.63,-2.06,-5.91,-1.05,cw,10.0,35.0,200.0,1,1,0.7476,0.477
21,3.0,3.0,205.26,215.26,65,0,-2.71,-1.28,-2.45,-1.73,ccw,10.0,35.0,200.0,0,1,0.6278,0.367
