trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,3.0,3.0,213.52,223.52,115,0,-2.5,-1.66,-2.18,-2.07,ccw,10.0,35.0,400.0,0,1,0.8375,2.182
2,3.0,3.0,181.27,191.27,140,0,-3.0,-0.07,-2.94,-0.59,ccw,10.0,35.0,400.0,0,1,0.9723,0.43
3,20.0,20.0,223.12,233.12,0,1,-14.6,-13.67,-12.0,-16.0,ccw,10.0,35.0,400.0,1,1,1.9184,0.341
4,6.0,6.0,316.91,326.91,0,1,4.38,-4.1,5.03,-3.28,ccw,10.0,35.0,400.0,1,1,0.8865,0.437
5,3.0,3.0,120.13,110.13,0,1,-1.51,2.59,-1.03,2.82,cw,10.0,35.0,400.0,1,1,1.0812,0.542
6,16.0,16.0,27.73,17.73,40,0,14.16,7.45,15.24,4.87,cw,10.0,35.0,400.0,1,0,3.4395,0.493
7,3.0,3.0,341.15,331.15,65,0,2.84,-0.97,2.63,-1.45,cw,10.0,35.0,400.0,0,1,0.8296,0.562
8,3.0,3.0,101.49,91.49,0,1,-0.6,2.94,-0.08,3.0,cw,10.0,35.0,400.0,1,1,1.3402,0.755
9,16.0,16.0,33.9,43.9,115,0,13.28,8.92,11.53,11.09,ccw,10.0,35.0,400.0,0,1,0.8152,0.165
10,16.0,16.0,261.32,251.32,0,1,-2.41,-15.82,-5.12,-15.16,cw,10.0,35.0,400.0,1,1,1.0239,0.245
11,12.0,12.0,10.95,20.95,40,0,11.78,2.28,11.21,4.29,ccw,10.0,35.0,400.0,0,1,0.8651,0.386
12,12.0,12.0,46.57,36.57,65,0,8.25,8.71,9.64,7.15,cw,10.0,35.0,400.0,0,1,0.808,0.277
13,20.0,20.0,66.49,56.49,65,0,7.98,18.34,11.04,16.68,cw,10.0,10.0,400.0,1,0,1.4384,0.243
14,6.0,6.0,220.02,210.02,65,0,-4.59,-3.86,-5.19,-3.0,cw,10.0,35.0,400.0,0,1,0.9086,0.203
15,20.0,20.0,215.13,225.13,140,0,-16.36,-11.51,-14.11,-14.17,ccw,10.0,35.0,400.0,1,0,1.1467,0.152
16,12.0,12.0,43.77,33.77,0,1,8.67,8.3,9.98,6.67,cw,10.0,35.0,400.0,1,1,0.7686,0.276
17,6.0,6.0,65.3,75.3,0,1,2.51,5.45,1.52,5.8,ccw,10.0,35.0,400.0,1,1,0.7415,0.204
18,20.0,20.0,55.54,45.54,140,0,11.32,16.49,14.01,14.27,cw,10.0,35.0,400.0,0,1,0.961,0.304
19,20.0,20.0,330.01,340.01,65,0,17.32,-10.0,18.8,-6.84,ccw,10.0,35.0,400.0,0,1,1.1306,0.243
20,6.0,6.0,298.01,308.01,40,0,2.82,-5.3,3.69,-4.73,ccw,10.0,35.0,400.0,0,1,0.7838,0.412
21,3.0,3.0,265.99,255.99,140,0,-0.21,-2.99,-0.73,-2.91,cw,10.0,35.0,400.0,0,1,0.9899,0.305
22,16.0,16.0,86.19,76.19,115,0,1.06,15.96,3.82,15.54,cw,10.0,35.0,400.0,0,1,0.8641,0.318
23,16.0,16.0,157.43,167.43,0,1,-14.77,6.14,-15.62,3.48,ccw,10.0,35.0,400.0,1,1,0.8311,0.304
24,3.0,3.0,59.69,49.69,0,1,1.51,2.59,1.94,2.29,cw,10.0,35.0,400.0,1,1,0.7853,0.27
25,3.0,3.0,352.56,342.56,0,1,2.97,-0.39,2.86,-0.9,cw,10.0,35.0,400.0,1,1,0.6745,0.424
26,20.0,20.0,80.66,90.66,140,0,3.25,19.73,-0.23,20.0,ccw,10.0,10.0,400.0,1,0,1.1754,0.224
27,3.0,3.0,349.23,339.23,40,0,2.95,-0.56,2.8,-1.06,cw,10.0,35.0,400.0,0,1,0.7784,0.196
28,3.0,3.0,137.84,147.84,115,0,-2.22,2.01,-2.54,1.6,ccw,10.0,35.0,400.0,0,1,1.037,0.299
29,3.0,3.0,83.13,73.13,0,1,0.36,2.98,0.87,2.87,cw,10.0,35.0,400.0,1,1,0.7355,0.29
30,6.0,6.0,254.57,264.57,0,1,-1.6,-5.78,-0.57,-5.97,ccw,10.0,35.0,400.0,1,1,0.8237,0.318
31,12.0,12.0,40.03,30.03,140,0,9.19,7.72,10.39,6.01,cw,10.0,35.0,400.0,0,1,0.7962,0.249
32,16.0,16.0,16.27,6.27,140,0,15.36,4.48,15.9,1.75,cw,10.0,35.0,400.0,1,0,3.797,0.276
33,16.0,16.0,57.51,47.51,115,0,8.59,13.5,10.81,11.8,cw,10.0,35.0,400.0,0,1,0.9579,0.432
34,20.0,20.0,190.66,200.66,0,1,-19.65,-3.7,-18.71,-7.06,ccw,10.0,35.0,400.0,1,1,0.8647,0.368
35,16.0,16.0,244.9,254.9,0,1,-6.79,-14.49,-4.17,-15.45,ccw,10.0,35.0,400.0,1,1,0.908,0.279
36,16.0,16.0,274.94,284.94,0,1,1.38,-15.94,4.13,-15.46,ccw,10.0,35.0,400.0,1,1,1.2047,0.13
37,12.0,12.0,305.16,295.16,0,1,6.91,-9.81,5.1,-10.86,cw,10.0,35.0,400.0,1,1,0.7862,0.111
38,6.0,6.0,159.5,149.5,115,0,-5.62,2.1,-5.17,3.04,cw,10.0,35.0,400.0,0,1,0.9629,0.155
39,3.0,3.0,51.97,61.97,0,1,1.85,2.36,1.41,2.65,ccw,10.0,35.0,400.0,1,1,0.7631,0.195
40,20.0,20.0,337.67,327.67,115,0,18.5,-7.6,16.9,-10.7,cw,10.0,35.0,400.0,1,0,1.1989,0.272
41,12.0,12.0,153.03,163.03,140,0,-10.69,5.44,-11.48,3.5,ccw,10.0,35.0,400.0,0,1,1.427,0.321
42,12.0,12.0,175.18,185.18,65,0,-11.96,1.01,-11.95,-1.08,ccw,10.0,35.0,400.0,0,1,0.9965,0.313
43,3.0,3.0,10.81,20.81,115,0,2.95,0.56,2.8,1.07,ccw,10.0,35.0,400.0,0,1,1.079,0.366
44,6.0,6.0,232.86,242.86,140,0,-3.62,-4.78,-2.74,-5.34,ccw,10.0,35.0,400.0,0,1,0.972,0.355
45,6.0,6.0,316.24,326.24,0,1,4.33,-4.15,4.99,-3.33,ccw,10.0,35.0,400.0,1,1,0.9593,0.311
46,3.0,3.0,151.81,161.81,0,1,-2.64,1.42,-2.85,0.94,ccw,10.0,35.0,400.0,1,1,0.833,0.347
47,20.0,20.0,257.92,267.92,0,1,-4.18,-19.56,-0.73,-19.99,ccw,10.0,10.0,400.0,1,1,1.4527,0.834
48,3.0,3.0,12.96,2.96,0,1,2.92,0.67,3.0,0.15,cw,10.0,35.0,400.0,1,1,0.7552,0.486
49,12.0,12.0,77.35,67.35,140,0,2.63,11.71,4.62,11.07,cw,10.0,35.0,400.0,0,1,0.8014,0.378
50,6.0,6.0,207.7,197.7,40,0,-5.31,-2.79,-5.72,-1.82,cw,10.0,35.0,400.0,0,1,0.8758,0.272
51,16.0,16.0,271.42,261.42,140,0,0.4,-16.0,-2.39,-15.82,cw,10.0,35.0,400.0,0,1,1.0496,0.382
52,6.0,6.0,218.61,208.61,0,1,-4.69,-3.74,-5.27,-2.87,cw,10.0,35.0,400.0,1,1,0.8133,0.364
53,6.0,6.0,163.55,153.55,0,1,-5.75,1.7,-5.37,2.67,cw,10.0,35.0,400.0,1,1,1.1097,0.619
54,16.0,16.0,323.03,333.03,115,0,12.78,-9.62,14.26,-7.26,ccw,10.0,35.0,400.0,0,1,1.0119,0.317
55,20.0,20.0,80.98,90.98,0,1,3.13,19.75,-0.34,20.0,ccw,10.0,10.0,400.0,1,1,1.5497,0.473
56,6.0,6.0,358.04,348.04,140,0,6.0,-0.21,5.87,-1.24,cw,10.0,35.0,400.0,0,1,0.7681,0.468
57,6.0,6.0,127.18,117.18,0,1,-3.63,4.78,-2.74,5.34,cw,10.0,35.0,400.0,1,1,0.8366,0.324
58,20.0,20.0,92.6,102.6,0,1,-0.91,19.98,-4.36,19.52,ccw,10.0,10.0,400.0,0,0,1.1189,0.692
59,12.0,12.0,312.38,302.38,0,1,8.09,-8.86,6.43,-10.13,cw,10.0,35.0,400.0,1,1,0.8602,0.464
60,12.0,12.0,136.94,126.94,0,1,-8.77,8.19,-7.21,9.59,cw,10.0,35.0,400.0,1,1,0.7853,0.407
61,12.0,12.0,252.23,262.23,140,0,-3.66,-11.43,-1.62,-11.89,ccw,10.0,35.0,400.0,0,1,0.9697,0.45
62,16.0,16.0,321.78,311.78,0,1,12.57,-9.9,10.66,-11.93,cw,10.0,35.0,400.0,1,1,0.7927,0.428
63,12.0,12.0,31.21,21.21,65,0,10.26,6.22,11.19,4.34,cw,10.0,35.0,400.0,0,1,0.7379,0.629
64,16.0,16.0,302.1,292.1,115,0,8.5,-13.55,6.02,-14.82,cw,10.0,35.0,400.0,0,1,0.8819,0.542
