trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,3.0,3.0,118.07,128.07,65,0,-1.41,2.65,-1.85,2.36,ccw,10.0,35.0,0.0,0,1,0.9595,0.32
2,12.0,12.0,160.55,170.55,0,1,-11.31,4.0,-11.84,1.97,ccw,10.0,35.0,0.0,1,1,0.7429,0.623
3,16.0,16.0,34.81,44.81,0,1,13.14,9.13,11.35,11.28,ccw,10.0,35.0,0.0,1,1,0.7876,0.748
4,3.0,3.0,253.5,263.5,0,1,-0.85,-2.88,-0.34,-2.98,ccw,10.0,35.0,0.0,1,1,0.719,0.709
5,20.0,20.0,152.4,162.4,0,1,-17.72,9.27,-19.06,6.05,ccw,10.0,35.0,0.0,1,1,0.9732,0.85
6,20.0,20.0,353.68,343.68,0,1,19.88,-2.2,19.19,-5.62,cw,10.0,35.0,0.0,1,1,0.7228,0.992
7,6.0,6.0,338.43,348.43,115,0,5.58,-2.21,5.88,-1.2,ccw,10.0,35.0,0.0,0,1,0.8895,0.716
8,20.0,20.0,13.86,3.86,0,1,19.42,4.79,19.95,1.35,cw,10.0,35.0,0.0,1,1,0.7934,0.642
9,12.0,12.0,233.57,243.57,40,0,-7.13,-9.65,-5.34,-10.75,ccw,10.0,35.0,0.0,0,1,0.8559,0.877
10,6.0,6.0,256.69,246.69,0,1,-1.38,-5.84,-2.37,-5.51,cw,10.0,35.0,0.0,1,1,0.7506,1.28
11,3.0,3.0,175.56,185.56,115,0,-2.99,0.23,-2.99,-0.29,ccw,10.0,35.0,0.0,0,1,0.8278,0.765
12,6.0,6.0,27.84,37.84,40,0,5.31,2.8,4.74,3.68,ccw,10.0,35.0,0.0,0,1,0.8405,0.933
13,6.0,6.0,233.54,223.54,140,0,-3.57,-4.83,-4.35,-4.13,cw,10.0,35.0,0.0,0,1,0.8834,1.051
14,6.0,6.0,352.35,342.35,40,0,5.95,-0.8,5.72,-1.82,cw,10.0,35.0,0.0,0,1,0.8326,0.596
15,6.0,6.0,149.44,159.44,0,1,-5.17,3.05,-5.62,2.11,ccw,10.0,35.0,0.0,1,1,0.807,0.839
16,3.0,3.0,254.41,244.41,115,0,-0.81,-2.89,-1.3,-2.71,cw,10.0,35.0,0.0,0,1,0.9197,0.646
17,12.0,12.0,159.59,149.59,0,1,-11.25,4.18,-10.35,6.07,cw,10.0,35.0,0.0,1,1,0.9397,0.893
18,6.0,6.0,249.24,259.24,0,1,-2.13,-5.61,-1.12,-5.89,ccw,10.0,35.0,0.0,1,1,0.8368,0.858
19,12.0,12.0,113.72,103.72,65,0,-4.83,10.99,-2.85,11.66,cw,10.0,35.0,0.0,0,1,0.8971,0.666
20,6.0,6.0,251.39,241.39,115,0,-1.91,-5.69,-2.87,-5.27,cw,10.0,35.0,0.0,0,1,0.8573,0.664
21,3.0,3.0,354.27,344.27,0,1,2.99,-0.3,2.89,-0.81,cw,10.0,35.0,0.0,1,1,0.8308,0.763
22,3.0,3.0,250.05,260.05,140,0,-1.02,-2.82,-0.52,-2.95,ccw,10.0,35.0,0.0,0,1,0.8634,0.532
23,12.0,12.0,280.53,270.53,140,0,2.19,-11.8,0.11,-12.0,cw,10.0,35.0,0.0,0,1,0.9896,1.06
24,20.0,20.0,190.33,180.33,0,1,-19.68,-3.59,-20.0,-0.11,cw,10.0,35.0,0.0,1,1,0.8612,0.988
25,16.0,16.0,36.83,26.83,40,0,12.81,9.59,14.28,7.22,cw,10.0,35.0,0.0,0,1,1.2332,1.059
26,20.0,20.0,44.72,54.72,0,1,14.21,14.07,11.55,16.33,ccw,10.0,35.0,0.0,1,1,0.9494,1.124
27,6.0,6.0,135.39,125.39,115,0,-4.27,4.21,-3.47,4.89,cw,10.0,35.0,0.0,0,1,1.0973,0.537
28,20.0,20.0,104.3,94.3,40,0,-4.94,19.38,-1.5,19.94,cw,10.0,10.0,0.0,0,1,1.2651,0.586
29,6.0,6.0,132.87,122.87,140,0,-4.08,4.4,-3.26,5.04,cw,10.0,35.0,0.0,0,1,1.1828,0.824
