trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,20.0,20.0,240.56,230.56,140,0,-9.83,-17.42,-12.7,-15.45,cw,10.0,10.0,400.0,0,1,1.2183,2.996
2,16.0,16.0,330.01,340.01,0,1,13.86,-8.0,15.04,-5.47,ccw,10.0,35.0,400.0,1,1,0.9381,0.144
3,20.0,20.0,86.24,96.24,140,0,1.31,19.96,-2.17,19.88,ccw,10.0,10.0,400.0,0,1,1.1687,0.314
4,12.0,12.0,97.26,87.26,0,1,-1.52,11.9,0.57,11.99,cw,10.0,35.0,400.0,1,1,0.9773,0.255
5,12.0,12.0,101.03,91.03,65,0,-2.3,11.78,-0.22,12.0,cw,10.0,35.0,400.0,0,1,1.0318,0.265
6,16.0,16.0,6.38,356.38,140,0,15.9,1.78,15.97,-1.01,cw,10.0,35.0,400.0,0,1,1.7797,0.215
7,20.0,20.0,353.36,3.36,115,0,19.87,-2.31,19.97,1.17,ccw,10.0,35.0,400.0,0,1,1.0146,0.083
8,12.0,12.0,162.11,152.11,0,1,-11.42,3.69,-10.61,5.61,cw,10.0,35.0,400.0,1,1,0.9227,0.439
9,16.0,16.0,253.57,263.57,65,0,-4.53,-15.35,-1.79,-15.9,ccw,10.0,35.0,400.0,0,1,1.1821,0.559
10,6.0,6.0,89.06,99.06,0,1,0.1,6.0,-0.95,5.93,ccw,10.0,35.0,400.0,1,1,1.7822,0.591
11,12.0,12.0,6.44,356.44,0,1,11.92,1.35,11.98,-0.75,cw,10.0,35.0,400.0,1,1,2.6918,0.438
12,12.0,12.0,299.86,309.86,115,0,5.97,-10.41,7.69,-9.21,ccw,10.0,35.0,400.0,0,1,1.0168,0.957
13,3.0,3.0,44.89,54.89,0,1,2.13,2.12,1.73,2.45,ccw,10.0,35.0,400.0,1,1,0.8708,0.167
14,3.0,3.0,325.75,335.75,140,0,2.48,-1.69,2.74,-1.23,ccw,10.0,35.0,400.0,0,1,1.2414,0.298
15,16.0,16.0,158.05,148.05,40,0,-14.84,5.98,-13.58,8.47,cw,10.0,35.0,400.0,0,1,1.2802,0.284
16,16.0,16.0,336.72,326.72,0,1,14.7,-6.32,13.38,-8.78,cw,10.0,35.0,400.0,1,1,1.7899,0.537
17,6.0,6.0,311.3,321.3,40,0,3.96,-4.51,4.68,-3.75,ccw,10.0,35.0,400.0,0,1,1.4069,0.511
18,6.0,6.0,333.05,323.05,140,0,5.35,-2.72,4.79,-3.61,cw,10.0,35.0,400.0,0,1,3.3352,0.341
19,3.0,3.0,283.54,293.54,140,0,0.7,-2.92,1.2,-2.75,ccw,10.0,35.0,400.0,0,1,0.9459,0.255
20,6.0,6.0,229.12,219.12,140,0,-3.93,-4.54,-4.65,-3.79,cw,10.0,35.0,400.0,0,1,1.1649,0.082
21,3.0,3.0,132.86,142.86,115,0,-2.04,2.2,-2.39,1.81,ccw,10.0,35.0,400.0,0,1,1.6029,0.333
22,20.0,20.0,275.73,265.73,0,1,2.0,-19.9,-1.49,-19.94,cw,10.0,10.0,400.0,0,0,1.7106,1.069
23,16.0,16.0,155.37,165.37,0,1,-14.54,6.67,-15.48,4.04,ccw,10.0,35.0,400.0,1,1,0.9915,0.48
24,12.0,12.0,221.55,231.55,140,0,-8.98,-7.96,-7.46,-9.4,ccw,10.0,35.0,400.0,0,1,1.0059,0.24
25,12.0,12.0,141.62,131.62,115,0,-9.41,7.45,-7.97,8.97,cw,10.0,35.0,400.0,0,1,1.0361,0.377
26,12.0,12.0,198.37,188.37,115,0,-11.39,-3.78,-11.87,-1.75,cw,10.0,35.0,400.0,0,1,0.8409,0.541
27,3.0,3.0,27.68,37.68,0,1,2.66,1.39,2.37,1.83,ccw,10.0,35.0,400.0,1,1,0.8931,0.435
28,6.0,6.0,28.08,18.08,0,1,5.29,2.82,5.7,1.86,cw,10.0,35.0,400.0,1,1,1.2689,0.336
29,3.0,3.0,349.95,359.95,65,0,2.95,-0.52,3.0,-0.0,ccw,10.0,35.0,400.0,0,1,0.7752,0.622
30,12.0,12.0,1.27,351.27,0,1,12.0,0.26,11.86,-1.82,cw,10.0,35.0,400.0,1,1,1.0451,0.388
31,6.0,6.0,131.16,121.16,0,1,-3.95,4.52,-3.1,5.13,cw,10.0,35.0,400.0,1,1,1.125,0.32
32,6.0,6.0,172.96,162.96,140,0,-5.95,0.74,-5.74,1.76,cw,10.0,35.0,400.0,0,1,0.9959,1.594
33,12.0,12.0,41.51,51.51,0,1,8.99,7.95,7.47,9.39,ccw,10.0,35.0,400.0,1,1,1.0334,0.891
34,12.0,12.0,11.88,21.88,0,1,11.74,2.47,11.14,4.47,ccw,10.0,35.0,400.0,1,1,0.9568,0.435
35,3.0,3.0,307.84,317.84,0,1,1.84,-2.37,2.22,-2.01,ccw,10.0,35.0,400.0,1,1,1.4781,0.383
36,3.0,3.0,272.96,282.96,115,0,0.15,-3.0,0.67,-2.92,ccw,10.0,35.0,400.0,0,1,0.8103,0.557
37,12.0,12.0,329.54,339.54,140,0,10.34,-6.08,11.24,-4.19,ccw,10.0,35.0,400.0,0,1,0.8842,0.492
38,12.0,12.0,46.13,56.13,40,0,8.32,8.65,6.69,9.96,ccw,10.0,35.0,400.0,0,1,0.9313,0.379
39,20.0,20.0,236.67,226.67,115,0,-10.99,-16.71,-13.72,-14.55,cw,10.0,33.771,400.0,0,1,1.0606,0.618
40,3.0,3.0,262.81,252.81,0,1,-0.38,-2.98,-0.89,-2.87,cw,10.0,35.0,400.0,1,1,0.8376,0.603
41,16.0,16.0,272.08,262.08,140,0,0.58,-15.99,-2.21,-15.85,cw,10.0,35.0,400.0,0,1,2.0663,0.427
42,12.0,12.0,250.57,240.57,65,0,-3.99,-11.32,-5.9,-10.45,cw,10.0,35.0,400.0,0,1,0.9248,0.248
43,12.0,12.0,321.6,311.6,115,0,9.4,-7.45,7.97,-8.97,cw,10.0,35.0,400.0,0,1,0.8971,0.713
44,16.0,16.0,353.03,343.03,0,1,15.88,-1.94,15.3,-4.67,cw,10.0,35.0,400.0,1,1,0.9127,0.554
45,16.0,16.0,161.02,151.02,0,1,-15.13,5.2,-14.0,7.75,cw,10.0,35.0,400.0,1,1,0.8592,0.343
46,3.0,3.0,358.74,8.74,115,0,3.0,-0.07,2.97,0.46,ccw,10.0,35.0,400.0,0,1,0.9001,0.407
47,16.0,16.0,218.96,228.96,0,1,-12.44,-10.06,-10.5,-12.07,ccw,10.0,35.0,400.0,1,1,0.9935,0.724
48,16.0,16.0,307.22,297.22,0,1,9.68,-12.74,7.32,-14.23,cw,10.0,35.0,400.0,0,0,1.6463,0.601
49,20.0,20.0,294.85,284.85,65,0,8.41,-18.15,5.13,-19.33,cw,10.0,10.0,400.0,0,1,1.1694,0.555
50,20.0,20.0,96.93,106.93,0,1,-2.41,19.85,-5.83,19.13,ccw,10.0,10.0,400.0,0,0,1.0039,0.605
51,12.0,12.0,243.54,233.54,0,1,-5.35,-10.74,-7.13,-9.65,cw,10.0,35.0,400.0,1,1,0.8182,0.282
52,16.0,16.0,306.94,316.94,0,1,9.62,-12.79,11.69,-10.92,ccw,10.0,35.0,400.0,1,1,1.0508,0.201
53,12.0,12.0,163.03,153.03,40,0,-11.48,3.5,-10.69,5.44,cw,10.0,35.0,400.0,0,1,0.9634,0.724
54,20.0,20.0,346.23,336.23,40,0,19.43,-4.76,18.3,-8.06,cw,10.0,35.0,400.0,0,1,1.3344,0.715
55,16.0,16.0,68.22,58.22,140,0,5.94,14.86,8.43,13.6,cw,10.0,35.0,400.0,0,1,1.0513,0.273
56,12.0,12.0,244.61,234.61,0,1,-5.15,-10.84,-6.95,-9.78,cw,10.0,35.0,400.0,1,1,0.9937,0.471
57,20.0,20.0,177.33,187.33,65,0,-19.98,0.93,-19.84,-2.55,ccw,10.0,35.0,400.0,0,1,1.059,0.555
58,12.0,12.0,300.57,310.57,0,1,6.1,-10.33,7.81,-9.11,ccw,10.0,35.0,400.0,1,1,1.6345,0.509
59,12.0,12.0,137.15,147.15,140,0,-8.8,8.16,-10.08,6.51,ccw,10.0,35.0,400.0,0,1,0.8472,0.666
60,6.0,6.0,68.76,58.76,0,1,2.17,5.59,3.11,5.13,cw,10.0,35.0,400.0,1,1,1.1533,0.257
61,16.0,16.0,246.11,236.11,0,1,-6.48,-14.63,-8.92,-13.28,cw,10.0,35.0,400.0,1,1,0.938,0.687
62,20.0,20.0,86.27,76.27,0,1,1.3,19.96,4.75,19.43,cw,10.0,10.0,400.0,0,0,1.0773,0.295
63,16.0,16.0,212.23,222.23,115,0,-13.53,-8.53,-11.85,-10.75,ccw,10.0,35.0,400.0,0,1,1.1103,0.628
64,16.0,16.0,98.6,88.6,40,0,-2.39,15.82,0.39,16.0,cw,10.0,35.0,400.0,0,1,1.2397,0.899
65,3.0,3.0,27.04,37.04,140,0,2.67,1.36,2.39,1.81,ccw,10.0,35.0,400.0,0,1,0.9648,0.718
66,16.0,16.0,262.5,252.5,0,1,-2.09,-15.86,-4.81,-15.26,cw,10.0,35.0,400.0,1,1,1.4738,0.657
67,16.0,16.0,56.9,66.9,40,0,8.74,13.4,6.28,14.72,ccw,10.0,35.0,400.0,0,1,0.9496,0.572
68,12.0,12.0,65.56,55.56,140,0,4.96,10.92,6.79,9.9,cw,10.0,35.0,400.0,0,1,0.8749,0.583
69,20.0,20.0,156.74,146.74,0,1,-18.37,7.9,-16.72,10.97,cw,10.0,35.0,400.0,1,1,0.9741,0.615
70,3.0,3.0,100.76,110.76,0,1,-0.56,2.95,-1.06,2.81,ccw,10.0,35.0,400.0,1,1,0.8875,0.5
71,20.0,20.0,19.55,29.55,65,0,18.85,6.69,17.4,9.86,ccw,10.0,35.0,400.0,0,1,1.1281,0.783
72,3.0,3.0,265.85,255.85,0,1,-0.22,-2.99,-0.73,-2.91,cw,10.0,35.0,400.0,1,1,0.7525,1.032
73,16.0,16.0,284.55,274.55,0,1,4.02,-15.49,1.27,-15.95,cw,10.0,35.0,400.0,1,1,1.3499,0.739
74,12.0,12.0,152.84,142.84,65,0,-10.68,5.48,-9.56,7.25,cw,10.0,35.0,400.0,0,1,1.0101,0.744
75,12.0,12.0,15.63,25.63,0,1,11.56,3.23,10.82,5.19,ccw,10.0,35.0,400.0,1,1,0.9223,0.902
