trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,20.0,20.0,323.35,333.35,65,0,16.05,-11.94,17.87,-8.97,ccw,10.0,35.0,400.0,0,1,1.5695,6.453
2,12.0,12.0,138.61,148.61,40,0,-9.0,7.93,-10.24,6.25,ccw,10.0,35.0,400.0,0,1,0.7845,0.238
3,20.0,20.0,118.58,108.58,115,0,-9.57,17.56,-6.37,18.96,cw,10.0,10.0,400.0,0,1,1.0202,0.333
4,20.0,20.0,267.12,277.12,0,1,-1.01,-19.97,2.48,-19.85,ccw,10.0,10.0,400.0,0,0,0.8811,0.431
5,20.0,20.0,118.43,128.43,0,1,-9.52,17.59,-12.43,15.67,ccw,10.0,10.0,400.0,0,0,1.0923,0.444
6,20.0,20.0,224.3,234.3,0,1,-14.31,-13.97,-11.67,-16.24,ccw,10.0,35.0,400.0,0,0,0.9668,0.443
7,16.0,16.0,307.47,317.47,0,1,9.73,-12.7,11.79,-10.81,ccw,10.0,35.0,400.0,1,1,1.4639,0.456
8,12.0,12.0,130.85,120.85,65,0,-7.85,9.08,-6.15,10.3,cw,10.0,35.0,400.0,0,1,0.8566,0.488
9,12.0,12.0,325.72,315.72,0,1,9.92,-6.76,8.59,-8.38,cw,10.0,35.0,400.0,0,0,0.8714,0.414
10,20.0,20.0,58.56,68.56,115,0,10.43,17.06,7.31,18.62,ccw,10.0,10.0,400.0,0,1,1.611,0.476
11,12.0,12.0,209.69,219.69,115,0,-10.42,-5.94,-9.23,-7.66,ccw,10.0,35.0,400.0,0,1,0.7938,0.219
12,12.0,12.0,125.98,115.98,140,0,-7.05,9.71,-5.26,10.79,cw,10.0,35.0,400.0,0,1,0.852,0.393
13,3.0,3.0,333.33,343.33,0,1,2.68,-1.35,2.87,-0.86,ccw,10.0,35.0,400.0,1,1,0.7815,0.586
14,3.0,3.0,125.99,115.99,65,0,-1.76,2.43,-1.31,2.7,cw,10.0,35.0,400.0,0,1,0.8943,0.498
15,20.0,20.0,225.45,215.45,140,0,-14.03,-14.25,-16.29,-11.6,cw,10.0,35.0,400.0,0,1,0.9547,0.62
16,16.0,16.0,298.47,288.47,0,1,7.63,-14.07,5.07,-15.18,cw,10.0,35.0,400.0,1,1,0.8267,0.666
17,20.0,20.0,359.74,349.74,140,0,20.0,-0.09,19.68,-3.56,cw,10.0,35.0,400.0,0,1,1.0356,0.289
18,3.0,3.0,133.89,123.89,0,1,-2.08,2.16,-1.67,2.49,cw,10.0,35.0,400.0,1,1,0.8355,0.508
19,16.0,16.0,233.1,223.1,0,1,-9.61,-12.8,-11.68,-10.93,cw,10.0,35.0,400.0,1,1,1.0861,0.605
20,3.0,3.0,109.12,99.12,65,0,-0.98,2.83,-0.48,2.96,cw,10.0,35.0,400.0,0,1,0.8322,0.527
21,12.0,12.0,36.14,46.14,0,1,9.69,7.08,8.32,8.65,ccw,10.0,35.0,400.0,1,1,0.8188,0.474
22,16.0,16.0,183.03,173.03,0,1,-15.98,-0.85,-15.88,1.94,cw,10.0,35.0,400.0,1,1,0.7797,0.619
23,20.0,20.0,253.96,263.96,0,1,-5.53,-19.22,-2.11,-19.89,ccw,10.0,10.0,400.0,0,0,0.9359,0.412
24,16.0,16.0,267.17,277.17,0,1,-0.79,-15.98,2.0,-15.87,ccw,10.0,35.0,400.0,0,0,1.1326,0.49
25,12.0,12.0,78.93,68.93,140,0,2.3,11.78,4.31,11.2,cw,10.0,35.0,400.0,0,1,0.9633,0.316
26,16.0,16.0,6.07,16.07,140,0,15.91,1.69,15.37,4.43,ccw,10.0,35.0,400.0,0,1,1.0577,0.428
27,16.0,16.0,93.19,103.19,65,0,-0.89,15.98,-3.65,15.58,ccw,10.0,35.0,400.0,0,1,0.9136,0.279
28,20.0,20.0,131.21,141.21,0,1,-13.18,15.05,-15.59,12.53,ccw,10.0,35.0,400.0,1,1,2.1875,0.552
29,20.0,20.0,212.69,222.69,0,1,-16.83,-10.8,-14.7,-13.56,ccw,10.0,35.0,400.0,0,0,0.8632,0.311
30,16.0,16.0,317.53,307.53,0,1,11.8,-10.8,9.75,-12.69,cw,10.0,35.0,400.0,0,0,1.0947,0.306
31,12.0,12.0,135.62,125.62,0,1,-8.58,8.39,-6.99,9.75,cw,10.0,35.0,400.0,1,1,0.93,0.251
32,12.0,12.0,271.19,261.19,115,0,0.25,-12.0,-1.84,-11.86,cw,10.0,35.0,400.0,0,1,0.8482,0.454
33,12.0,12.0,232.71,222.71,40,0,-7.27,-9.55,-8.82,-8.14,cw,10.0,35.0,400.0,0,1,1.421,0.307
34,12.0,12.0,270.43,280.43,115,0,0.09,-12.0,2.17,-11.8,ccw,10.0,35.0,400.0,0,1,0.9213,0.215
35,20.0,20.0,210.4,200.4,40,0,-17.25,-10.12,-18.75,-6.97,cw,10.0,35.0,400.0,0,1,1.6077,0.347
36,16.0,16.0,358.46,348.46,0,1,15.99,-0.43,15.68,-3.2,cw,10.0,35.0,400.0,1,1,0.8114,2.048
37,12.0,12.0,275.83,285.83,0,1,1.22,-11.94,3.27,-11.54,ccw,10.0,35.0,400.0,1,1,0.8173,0.232
38,6.0,6.0,225.92,235.92,0,1,-4.17,-4.31,-3.36,-4.97,ccw,10.0,35.0,400.0,1,1,0.8531,0.286
39,16.0,16.0,317.97,307.97,0,1,11.88,-10.71,9.84,-12.61,cw,10.0,35.0,400.0,1,1,0.9833,0.428
40,20.0,20.0,212.96,202.96,40,0,-16.78,-10.88,-18.42,-7.8,cw,10.0,35.0,400.0,1,0,0.954,0.378
41,6.0,6.0,38.67,48.67,0,1,4.68,3.75,3.96,4.51,ccw,10.0,35.0,400.0,1,1,0.8588,0.375
42,16.0,16.0,203.83,193.83,0,1,-14.64,-6.46,-15.54,-3.82,cw,10.0,35.0,400.0,1,1,0.899,0.555
43,6.0,6.0,265.42,275.42,0,1,-0.48,-5.98,0.57,-5.97,ccw,10.0,35.0,400.0,1,1,0.8024,0.37
