trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,16.0,16.0,248.4,238.4,0,1,-5.89,-14.88,-8.38,-13.63,cw,10.0,35.0,200.0,1,1,0.8985,1.366
2,16.0,16.0,298.55,308.55,0,1,7.65,-14.05,9.97,-12.51,ccw,10.0,35.0,200.0,1,1,0.8633,1.095
3,12.0,12.0,207.34,197.34,115,0,-10.66,-5.51,-11.45,-3.58,cw,10.0,35.0,200.0,0,1,0.9413,1.143
4,3.0,3.0,178.6,188.6,65,0,-3.0,0.07,-2.97,-0.45,ccw,10.0,35.0,200.0,0,1,0.869,1.173
5,3.0,3.0,123.02,113.02,140,0,-1.63,2.52,-1.17,2.76,cw,10.0,35.0,200.0,0,1,0.7787,1.166
6,12.0,12.0,257.34,267.34,0,1,-2.63,-11.71,-0.56,-11.99,ccw,10.0,35.0,200.0,1,1,0.7634,1.229
7,3.0,3.0,237.0,227.0,0,1,-1.63,-2.52,-2.05,-2.19,cw,10.0,35.0,200.0,1,1,0.9975,1.155
8,3.0,3.0,70.88,60.88,0,1,0.98,2.83,1.46,2.62,cw,10.0,35.0,200.0,1,1,0.7597,1.32
9,3.0,3.0,287.93,297.93,65,0,0.92,-2.85,1.41,-2.65,ccw,10.0,35.0,200.0,0,1,0.814,1.565
10,16.0,16.0,119.61,109.61,0,1,-7.91,13.91,-5.37,15.07,cw,10.0,35.0,200.0,1,1,0.8432,1.357
11,20.0,20.0,168.26,158.26,115,0,-19.58,4.07,-18.58,7.41,cw,10.0,35.0,200.0,0,1,0.9076,1.277
12,12.0,12.0,196.64,206.64,115,0,-11.5,-3.44,-10.73,-5.38,ccw,10.0,35.0,200.0,0,1,0.7561,1.238
13,6.0,6.0,144.95,154.95,65,0,-4.91,3.45,-5.44,2.54,ccw,10.0,35.0,200.0,0,1,0.773,1.897
14,3.0,3.0,23.08,13.08,0,1,2.76,1.18,2.92,0.68,cw,10.0,35.0,200.0,1,1,0.7886,1.671
15,20.0,20.0,232.01,242.01,0,1,-12.31,-15.76,-9.39,-17.66,ccw,10.0,35.0,200.0,1,1,0.9282,1.705
16,20.0,20.0,221.63,211.63,0,1,-14.95,-13.29,-17.03,-10.49,cw,10.0,35.0,200.0,1,1,0.8198,1.295
17,12.0,12.0,243.44,253.44,0,1,-5.37,-10.73,-3.42,-11.5,ccw,10.0,35.0,200.0,1,1,0.7775,1.599
18,16.0,16.0,180.31,170.31,0,1,-16.0,-0.09,-15.77,2.69,cw,10.0,35.0,200.0,1,1,0.7147,2.01
19,3.0,3.0,316.85,306.85,0,1,2.19,-2.05,1.8,-2.4,cw,10.0,35.0,200.0,1,1,0.761,1.859
20,6.0,6.0,177.86,167.86,140,0,-6.0,0.22,-5.87,1.26,cw,10.0,35.0,200.0,0,1,0.8926,1.703
21,6.0,6.0,248.0,238.0,65,0,-2.25,-5.56,-3.18,-5.09,cw,10.0,35.0,200.0,0,1,1.379,1.611
22,20.0,20.0,163.1,153.1,0,1,-19.14,5.81,-17.84,9.05,cw,10.0,35.0,200.0,1,1,1.3178,1.579
23,16.0,16.0,285.8,295.8,0,1,4.36,-15.4,6.96,-14.41,ccw,10.0,35.0,200.0,1,1,0.9082,1.751
24,3.0,3.0,91.89,101.89,0,1,-0.1,3.0,-0.62,2.94,ccw,10.0,35.0,200.0,1,1,0.7756,1.59
25,12.0,12.0,319.03,329.03,0,1,9.06,-7.87,10.29,-6.18,ccw,10.0,35.0,200.0,1,1,0.7914,1.755
26,3.0,3.0,166.84,156.84,140,0,-2.92,0.68,-2.76,1.18,cw,10.0,35.0,200.0,0,1,0.8762,1.794
27,6.0,6.0,221.62,231.62,40,0,-4.49,-3.99,-3.73,-4.7,ccw,10.0,35.0,200.0,0,1,0.9643,1.661
