trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,20.0,20.0,41.21,31.21,65,0,15.05,13.18,17.1,10.36,cw,10.0,35.0,0.0,0,1,0.706,0.757
2,3.0,3.0,99.37,109.37,0,1,-0.49,2.96,-0.99,2.83,ccw,10.0,35.0,0.0,1,1,0.7122,0.272
3,20.0,20.0,347.88,337.88,0,1,19.55,-4.2,18.53,-7.53,cw,10.0,35.0,0.0,1,1,0.6798,0.31
4,12.0,12.0,219.03,209.03,40,0,-9.32,-7.56,-10.49,-5.82,cw,10.0,35.0,0.0,0,1,0.6254,0.281
5,20.0,20.0,297.51,307.51,0,1,9.24,-17.74,12.18,-15.87,ccw,10.0,10.0,0.0,0,0,0.6991,0.569
6,16.0,16.0,271.25,261.25,115,0,0.35,-16.0,-2.43,-15.81,cw,10.0,35.0,0.0,0,1,1.1717,0.347
7,3.0,3.0,255.06,245.06,0,1,-0.77,-2.9,-1.27,-2.72,cw,10.0,35.0,0.0,1,1,0.6855,0.323
8,20.0,20.0,216.4,226.4,115,0,-16.1,-11.87,-13.79,-14.48,ccw,10.0,35.0,0.0,0,1,0.5897,0.216
9,6.0,6.0,226.1,216.1,140,0,-4.16,-4.32,-4.85,-3.53,cw,10.0,35.0,0.0,0,1,0.6433,0.453
10,12.0,12.0,332.1,342.1,40,0,10.61,-5.61,11.42,-3.69,ccw,10.0,35.0,0.0,0,1,0.6096,0.408
11,3.0,3.0,293.18,283.18,40,0,1.18,-2.76,0.68,-2.92,cw,10.0,35.0,0.0,0,1,0.5893,0.491
12,12.0,12.0,63.64,73.64,0,1,5.33,10.75,3.38,11.51,ccw,10.0,35.0,0.0,1,1,0.7321,0.388
13,16.0,16.0,58.3,68.3,115,0,8.41,13.61,5.92,14.87,ccw,10.0,35.0,0.0,0,1,0.7405,0.366
14,16.0,16.0,47.88,37.88,0,1,10.73,11.87,12.63,9.82,cw,10.0,35.0,0.0,1,1,0.8172,0.564
