trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,6.0,6.0,63.72,73.72,40,0,2.66,5.38,1.68,5.76,ccw,10.0,35.0,100.0,0,1,2.3798,2.311
2,16.0,16.0,22.58,32.58,115,0,14.77,6.14,13.48,8.62,ccw,10.0,35.0,100.0,0,1,1.3707,0.515
3,16.0,16.0,98.79,88.79,140,0,-2.44,15.81,0.34,16.0,cw,10.0,35.0,100.0,0,1,1.0974,0.398
4,3.0,3.0,97.42,107.42,65,0,-0.39,2.97,-0.9,2.86,ccw,10.0,35.0,100.0,0,1,1.0387,0.354
5,20.0,20.0,350.85,340.85,40,0,19.75,-3.18,18.89,-6.56,cw,10.0,35.0,100.0,0,1,1.1945,0.528
6,16.0,16.0,305.32,295.32,140,0,9.25,-13.06,6.84,-14.46,cw,10.0,35.0,100.0,0,1,1.0226,0.814
7,12.0,12.0,205.86,195.86,115,0,-10.8,-5.23,-11.54,-3.28,cw,10.0,35.0,100.0,0,1,0.9745,0.597
8,12.0,12.0,263.08,273.08,0,1,-1.45,-11.91,0.64,-11.98,ccw,10.0,35.0,100.0,1,1,0.9289,0.67
9,3.0,3.0,112.8,122.8,40,0,-1.16,2.77,-1.62,2.52,ccw,10.0,35.0,100.0,0,1,0.9869,0.874
10,20.0,20.0,317.57,307.57,0,1,14.76,-13.49,12.19,-15.85,cw,10.0,35.0,100.0,1,1,0.9236,0.859
11,3.0,3.0,241.72,251.72,115,0,-1.42,-2.64,-0.94,-2.85,ccw,10.0,35.0,100.0,0,1,1.0097,0.668
12,20.0,20.0,261.87,271.87,115,0,-2.83,-19.8,0.65,-19.99,ccw,10.0,10.0,100.0,0,1,1.4451,0.819
13,6.0,6.0,29.26,19.26,115,0,5.23,2.93,5.66,1.98,cw,10.0,35.0,100.0,0,1,1.0578,0.98
14,12.0,12.0,156.93,166.93,0,1,-11.04,4.7,-11.69,2.71,ccw,10.0,35.0,100.0,1,1,0.9461,1.007
15,12.0,12.0,222.05,212.05,40,0,-8.91,-8.04,-10.17,-6.37,cw,10.0,35.0,100.0,0,1,0.8646,0.547
16,20.0,20.0,248.71,238.71,140,0,-7.26,-18.63,-10.39,-17.09,cw,10.0,10.0,100.0,0,1,1.2984,0.956
17,12.0,12.0,279.07,289.07,65,0,1.89,-11.85,3.92,-11.34,ccw,10.0,35.0,100.0,0,1,1.0061,1.097
18,6.0,6.0,131.52,141.52,140,0,-3.98,4.49,-4.7,3.73,ccw,10.0,35.0,100.0,0,1,0.9873,0.991
19,3.0,3.0,267.18,277.18,140,0,-0.15,-3.0,0.38,-2.98,ccw,10.0,35.0,100.0,0,1,0.9951,0.93
20,6.0,6.0,123.49,133.49,0,1,-3.31,5.0,-4.13,4.35,ccw,10.0,35.0,100.0,1,1,0.8756,1.065
21,16.0,16.0,142.88,132.88,0,1,-12.76,9.66,-10.89,11.72,cw,10.0,35.0,100.0,1,1,0.9405,0.707
22,16.0,16.0,250.57,260.57,0,1,-5.32,-15.09,-2.62,-15.78,ccw,10.0,35.0,100.0,1,1,1.1147,0.461
23,20.0,20.0,186.05,196.05,0,1,-19.89,-2.11,-19.22,-5.53,ccw,10.0,35.0,100.0,1,1,1.0245,0.91
24,12.0,12.0,45.46,55.46,115,0,8.42,8.55,6.8,9.89,ccw,10.0,35.0,100.0,0,1,0.9318,0.817
25,6.0,6.0,154.35,144.35,140,0,-5.41,2.6,-4.88,3.5,cw,10.0,35.0,100.0,0,1,0.9231,0.748
26,12.0,12.0,156.6,146.6,40,0,-11.01,4.77,-10.02,6.61,cw,10.0,35.0,100.0,0,1,0.9734,0.914
27,3.0,3.0,148.17,138.17,0,1,-2.55,1.58,-2.24,2.0,cw,10.0,35.0,100.0,1,1,1.0267,0.863
28,3.0,3.0,167.36,177.36,0,1,-2.93,0.66,-3.0,0.14,ccw,10.0,35.0,100.0,1,1,0.8556,0.799
29,20.0,20.0,252.54,262.54,0,1,-6.0,-19.08,-2.6,-19.83,ccw,10.0,10.0,100.0,0,0,1.4488,0.82
30,3.0,3.0,61.17,51.17,0,1,1.45,2.63,1.88,2.34,cw,10.0,35.0,100.0,1,1,0.9323,1.062
31,20.0,20.0,163.67,153.67,65,0,-19.19,5.62,-17.92,8.87,cw,10.0,35.0,100.0,0,1,0.9211,1.011
32,16.0,16.0,324.48,334.48,0,1,13.02,-9.3,14.44,-6.89,ccw,10.0,35.0,100.0,1,1,0.9597,0.495
33,6.0,6.0,316.04,326.04,0,1,4.32,-4.17,4.98,-3.35,ccw,10.0,35.0,100.0,1,1,0.9602,0.548
34,3.0,3.0,221.4,211.4,0,1,-2.25,-1.98,-2.56,-1.56,cw,10.0,35.0,100.0,1,1,0.9306,0.354
35,3.0,3.0,254.44,264.44,0,1,-0.8,-2.89,-0.29,-2.99,ccw,10.0,35.0,100.0,1,1,0.9528,0.382
36,3.0,3.0,329.45,319.45,0,1,2.58,-1.52,2.28,-1.95,cw,10.0,35.0,100.0,1,1,0.8892,0.973
37,20.0,20.0,116.33,106.33,40,0,-8.87,17.92,-5.62,19.19,cw,10.0,10.0,100.0,0,1,1.5385,0.737
38,16.0,16.0,146.22,136.22,140,0,-13.3,8.9,-11.55,11.07,cw,10.0,35.0,100.0,0,1,1.0564,0.725
39,16.0,16.0,305.73,315.73,0,1,9.34,-12.99,11.46,-11.17,ccw,10.0,35.0,100.0,1,1,0.9098,0.807
