trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,12.0,12.0,181.14,171.14,0,1,-12.0,-0.24,-11.86,1.85,cw,10.0,35.0,0.0,1,1,0.9018,0.546
2,16.0,16.0,42.05,52.05,140,0,11.88,10.72,9.84,12.62,ccw,10.0,35.0,0.0,0,1,0.8811,1.151
3,20.0,20.0,206.62,196.62,65,0,-17.88,-8.96,-19.16,-5.72,cw,10.0,35.0,0.0,0,1,0.8619,0.847
4,16.0,16.0,266.98,276.98,40,0,-0.84,-15.98,1.94,-15.88,ccw,10.0,35.0,0.0,0,1,0.9575,0.748
5,3.0,3.0,332.64,342.64,0,1,2.66,-1.38,2.86,-0.9,ccw,10.0,35.0,0.0,1,1,0.7405,0.643
6,6.0,6.0,357.52,347.52,140,0,5.99,-0.26,5.86,-1.3,cw,10.0,35.0,0.0,0,1,0.878,1.462
7,16.0,16.0,191.97,201.97,0,1,-15.65,-3.32,-14.84,-5.99,ccw,10.0,35.0,0.0,0,0,0.9692,1.289
8,3.0,3.0,91.98,81.98,0,1,-0.1,3.0,0.42,2.97,cw,10.0,35.0,0.0,1,1,0.9355,0.855
9,16.0,16.0,287.04,297.04,65,0,4.69,-15.3,7.27,-14.25,ccw,10.0,35.0,0.0,0,1,1.3466,1.342
10,16.0,16.0,211.8,221.8,140,0,-13.6,-8.43,-11.93,-10.66,ccw,10.0,35.0,0.0,0,1,0.8578,1.004
11,12.0,12.0,287.27,277.27,65,0,3.56,-11.46,1.52,-11.9,cw,10.0,35.0,0.0,0,1,1.011,1.325
12,3.0,3.0,248.85,238.85,140,0,-1.08,-2.8,-1.55,-2.57,cw,10.0,35.0,0.0,0,1,0.8219,1.133
13,20.0,20.0,48.49,38.49,140,0,13.25,14.98,15.65,12.45,cw,10.0,35.0,0.0,0,1,0.9698,1.259
14,20.0,20.0,279.33,269.33,40,0,3.24,-19.74,-0.23,-20.0,cw,10.0,10.0,0.0,0,1,0.8858,1.014
15,3.0,3.0,259.27,269.27,0,1,-0.56,-2.95,-0.04,-3.0,ccw,10.0,35.0,0.0,1,1,1.069,0.838
16,3.0,3.0,315.33,305.33,65,0,2.13,-2.11,1.73,-2.45,cw,10.0,35.0,0.0,0,1,0.8562,1.039
17,16.0,16.0,215.92,225.92,115,0,-12.96,-9.39,-11.13,-11.49,ccw,10.0,35.0,0.0,1,0,1.2197,0.991
18,20.0,20.0,144.86,134.86,0,1,-16.36,11.51,-14.11,14.18,cw,10.0,35.0,0.0,0,0,0.9326,1.29
19,6.0,6.0,97.93,87.93,65,0,-0.83,5.94,0.22,6.0,cw,10.0,35.0,0.0,0,1,0.8591,1.283
20,16.0,16.0,128.03,138.03,40,0,-9.86,12.6,-11.9,10.7,ccw,10.0,35.0,0.0,0,1,0.9041,1.372
21,12.0,12.0,239.84,229.84,115,0,-6.03,-10.38,-7.74,-9.17,cw,10.0,35.0,0.0,0,1,0.8906,1.306
22,6.0,6.0,274.61,284.61,140,0,0.48,-5.98,1.51,-5.81,ccw,10.0,35.0,0.0,0,1,0.8042,1.178
23,16.0,16.0,230.9,220.9,0,1,-10.09,-12.42,-12.09,-10.48,cw,10.0,35.0,0.0,0,0,0.9285,1.154
24,3.0,3.0,344.52,354.52,0,1,2.89,-0.8,2.99,-0.29,ccw,10.0,35.0,0.0,1,1,0.9074,1.139
25,16.0,16.0,191.33,201.33,65,0,-15.69,-3.14,-14.9,-5.82,ccw,10.0,35.0,0.0,0,1,0.9493,0.822
26,6.0,6.0,66.79,56.79,0,1,2.36,5.51,3.29,5.02,cw,10.0,35.0,0.0,1,1,0.8067,0.446
27,12.0,12.0,229.49,219.49,0,1,-7.79,-9.12,-9.26,-7.63,cw,10.0,35.0,0.0,1,1,0.9036,1.002
28,12.0,12.0,99.18,89.18,0,1,-1.92,11.85,0.17,12.0,cw,10.0,35.0,0.0,1,1,1.1024,0.67
29,20.0,20.0,160.97,170.97,65,0,-18.91,6.52,-19.75,3.14,ccw,10.0,35.0,0.0,0,1,1.002,1.552
30,12.0,12.0,10.04,0.04,40,0,11.82,2.09,12.0,0.01,cw,10.0,35.0,0.0,0,1,0.9155,1.378
31,6.0,6.0,70.9,80.9,0,1,1.96,5.67,0.95,5.92,ccw,10.0,35.0,0.0,1,1,0.95,1.463
32,20.0,20.0,206.73,216.73,0,1,-17.86,-9.0,-16.03,-11.96,ccw,10.0,35.0,0.0,1,1,1.0112,1.45
33,6.0,6.0,74.8,64.8,0,1,1.57,5.79,2.55,5.43,cw,10.0,35.0,0.0,1,1,0.865,1.257
34,6.0,6.0,295.77,305.77,0,1,2.61,-5.4,3.51,-4.87,ccw,10.0,35.0,0.0,1,1,0.9007,1.445
35,12.0,12.0,169.36,179.36,0,1,-11.79,2.22,-12.0,0.13,ccw,10.0,35.0,0.0,1,1,0.8385,1.378
36,20.0,20.0,338.3,328.3,65,0,18.58,-7.39,17.02,-10.51,cw,10.0,35.0,0.0,0,1,0.982,1.336
37,3.0,3.0,66.15,56.15,0,1,1.21,2.74,1.67,2.49,cw,10.0,35.0,0.0,1,1,0.8806,1.324
38,3.0,3.0,18.26,8.26,0,1,2.85,0.94,2.97,0.43,cw,10.0,35.0,0.0,1,1,0.8789,1.067
39,12.0,12.0,196.83,206.83,0,1,-11.49,-3.47,-10.71,-5.42,ccw,10.0,35.0,0.0,1,1,1.0188,0.852
40,6.0,6.0,208.87,198.87,65,0,-5.25,-2.9,-5.68,-1.94,cw,10.0,35.0,0.0,0,1,0.9228,0.542
41,16.0,16.0,329.87,319.87,0,1,13.84,-8.03,12.23,-10.31,cw,10.0,35.0,0.0,1,1,0.98,0.509
42,16.0,16.0,223.5,213.5,115,0,-11.61,-11.01,-13.34,-8.83,cw,10.0,35.0,0.0,0,1,0.9389,1.612
43,16.0,16.0,169.09,159.09,115,0,-15.71,3.03,-14.95,5.71,cw,10.0,35.0,0.0,0,1,0.8676,1.5
44,16.0,16.0,68.39,78.39,140,0,5.89,14.88,3.22,15.67,ccw,10.0,35.0,0.0,0,1,0.97,1.304
45,6.0,6.0,191.14,181.14,0,1,-5.89,-1.16,-6.0,-0.12,cw,10.0,35.0,0.0,1,1,0.8476,1.633
46,12.0,12.0,328.22,338.22,0,1,10.2,-6.32,11.14,-4.45,ccw,10.0,35.0,0.0,1,1,0.8995,1.85
47,16.0,16.0,119.55,129.55,0,1,-7.89,13.92,-10.19,12.34,ccw,10.0,35.0,0.0,1,1,1.0041,1.527
48,20.0,20.0,305.29,315.29,0,1,11.56,-16.32,14.21,-14.07,ccw,10.0,35.0,0.0,0,0,1.7645,1.873
49,16.0,16.0,218.29,208.29,0,1,-12.56,-9.92,-14.09,-7.58,cw,10.0,35.0,0.0,1,1,0.8788,1.287
50,16.0,16.0,143.91,153.91,0,1,-12.93,9.43,-14.37,7.04,ccw,10.0,35.0,0.0,1,1,0.8999,1.726
51,6.0,6.0,340.04,330.04,115,0,5.64,-2.05,5.2,-3.0,cw,10.0,35.0,0.0,0,1,0.8142,1.925
52,6.0,6.0,71.21,61.21,0,1,1.93,5.68,2.89,5.26,cw,10.0,35.0,0.0,1,1,0.9331,1.591
53,20.0,20.0,12.09,2.09,115,0,19.56,4.19,19.99,0.73,cw,10.0,35.0,0.0,0,1,1.0306,1.393
54,6.0,6.0,168.92,158.92,0,1,-5.89,1.15,-5.6,2.16,cw,10.0,35.0,0.0,1,1,0.8921,1.41
55,3.0,3.0,12.2,2.2,115,0,2.93,0.63,3.0,0.12,cw,10.0,35.0,0.0,0,1,0.9585,1.231
56,3.0,3.0,323.38,313.38,115,0,2.41,-1.79,2.06,-2.18,cw,10.0,35.0,0.0,0,1,0.9207,0.918
