trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,12.0,12.0,90.08,80.08,115,0,-0.02,12.0,2.07,11.82,cw,10.0,35.0,300.0,0,1,0.8583,1.119
2,20.0,20.0,43.23,53.23,0,1,14.57,13.7,11.97,16.02,ccw,10.0,35.0,300.0,1,1,0.9757,0.829
3,12.0,12.0,333.64,343.64,0,1,10.75,-5.33,11.51,-3.38,ccw,10.0,35.0,300.0,1,1,0.9731,0.684
4,16.0,16.0,309.97,299.97,40,0,10.28,-12.26,7.99,-13.86,cw,10.0,35.0,300.0,0,1,0.8088,0.879
5,16.0,16.0,161.32,171.32,0,1,-15.16,5.12,-15.82,2.41,ccw,10.0,35.0,300.0,1,1,0.7918,0.6
6,20.0,20.0,331.91,321.91,65,0,17.64,-9.42,15.74,-12.34,cw,10.0,35.0,300.0,0,1,0.8834,0.982
7,16.0,16.0,211.28,221.28,0,1,-13.67,-8.31,-12.02,-10.56,ccw,10.0,35.0,300.0,0,0,1.1255,0.91
8,16.0,16.0,270.16,280.16,140,0,0.05,-16.0,2.82,-15.75,ccw,10.0,35.0,300.0,0,1,0.9104,0.833
9,12.0,12.0,12.91,2.91,115,0,11.7,2.68,11.98,0.61,cw,10.0,35.0,300.0,0,1,0.9588,0.81
10,16.0,16.0,66.31,56.31,0,1,6.43,14.65,8.88,13.31,cw,10.0,35.0,300.0,0,0,1.4708,0.98
11,3.0,3.0,168.29,158.29,140,0,-2.94,0.61,-2.79,1.11,cw,10.0,35.0,300.0,0,1,0.9655,0.781
12,3.0,3.0,13.27,3.27,65,0,2.92,0.69,3.0,0.17,cw,10.0,35.0,300.0,0,1,0.7929,0.729
13,6.0,6.0,332.08,342.08,40,0,5.3,-2.81,5.71,-1.85,ccw,10.0,35.0,300.0,0,1,2.0565,0.742
14,3.0,3.0,332.84,342.84,0,1,2.67,-1.37,2.87,-0.89,ccw,10.0,35.0,300.0,1,1,0.8235,1.109
15,6.0,6.0,17.3,7.3,0,1,5.73,1.78,5.95,0.76,cw,10.0,35.0,300.0,1,1,0.7435,0.968
16,6.0,6.0,312.63,322.63,115,0,4.06,-4.41,4.77,-3.64,ccw,10.0,35.0,300.0,0,1,0.9293,1.237
17,20.0,20.0,269.17,279.17,140,0,-0.29,-20.0,3.19,-19.74,ccw,10.0,10.0,300.0,0,1,2.8709,0.995
18,6.0,6.0,62.72,52.72,0,1,2.75,5.33,3.63,4.77,cw,10.0,35.0,300.0,1,1,0.8755,1.288
19,3.0,3.0,205.37,215.37,65,0,-2.71,-1.29,-2.45,-1.74,ccw,10.0,35.0,300.0,0,1,0.7597,1.069
20,16.0,16.0,319.55,329.55,115,0,12.18,-10.38,13.79,-8.11,ccw,10.0,35.0,300.0,0,1,0.8717,1.277
21,3.0,3.0,238.18,248.18,0,1,-1.58,-2.55,-1.12,-2.79,ccw,10.0,35.0,300.0,1,1,0.8996,1.229
22,3.0,3.0,273.81,263.81,0,1,0.2,-2.99,-0.32,-2.98,cw,10.0,35.0,300.0,1,1,0.7303,1.111
23,3.0,3.0,109.49,99.49,0,1,-1.0,2.83,-0.49,2.96,cw,10.0,35.0,300.0,1,1,0.7146,1.029
24,6.0,6.0,334.26,324.26,65,0,5.4,-2.61,4.87,-3.51,cw,10.0,35.0,300.0,0,1,0.8088,0.998
25,12.0,12.0,66.06,76.06,140,0,4.87,10.97,2.89,11.65,ccw,10.0,35.0,300.0,0,1,0.8003,1.214
26,3.0,3.0,74.88,84.88,0,1,0.78,2.9,0.27,2.99,ccw,10.0,35.0,300.0,1,1,0.8571,1.281
27,3.0,3.0,65.86,75.86,0,1,1.23,2.74,0.73,2.91,ccw,10.0,35.0,300.0,1,1,0.6568,1.97
28,6.0,6.0,109.75,119.75,0,1,-2.03,5.65,-2.98,5.21,ccw,10.0,35.0,300.0,1,1,0.6717,0.818
29,3.0,3.0,20.09,30.09,0,1,2.82,1.03,2.6,1.5,ccw,10.0,35.0,300.0,1,1,0.5781,0.859
30,6.0,6.0,355.92,345.92,0,1,5.98,-0.43,5.82,-1.46,cw,10.0,35.0,300.0,1,1,0.8627,1.082
31,20.0,20.0,82.33,92.33,0,1,2.67,19.82,-0.81,19.98,ccw,10.0,10.0,300.0,0,0,2.3556,0.873
32,20.0,20.0,353.4,343.4,0,1,19.87,-2.3,19.17,-5.71,cw,10.0,35.0,300.0,1,1,0.7285,1.098
33,12.0,12.0,101.35,91.35,0,1,-2.36,11.77,-0.28,12.0,cw,10.0,35.0,300.0,1,1,0.7544,0.987
34,3.0,3.0,252.25,262.25,65,0,-0.91,-2.86,-0.4,-2.97,ccw,10.0,35.0,300.0,0,1,0.9328,1.065
35,6.0,6.0,277.05,267.05,0,1,0.74,-5.95,-0.31,-5.99,cw,10.0,35.0,300.0,1,1,0.8946,1.09
36,16.0,16.0,352.53,2.53,40,0,15.86,-2.08,15.98,0.71,ccw,10.0,35.0,300.0,0,1,1.7045,1.077
37,20.0,20.0,225.65,235.65,140,0,-13.98,-14.3,-11.28,-16.51,ccw,10.0,35.0,300.0,0,1,0.9753,1.136
38,3.0,3.0,236.41,246.41,0,1,-1.66,-2.5,-1.2,-2.75,ccw,10.0,35.0,300.0,1,1,0.742,1.077
