trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,16.0,16.0,256.04,266.04,140,0,-3.86,-15.53,-1.1,-15.96,ccw,10.0,35.0,400.0,0,1,1.8331,2.109
2,3.0,3.0,80.78,90.78,140,0,0.48,2.96,-0.04,3.0,ccw,10.0,35.0,400.0,0,1,1.0127,0.626
3,12.0,12.0,189.27,179.27,65,0,-11.84,-1.93,-12.0,0.15,cw,10.0,35.0,400.0,0,1,1.0655,0.263
4,16.0,16.0,79.49,69.49,115,0,2.92,15.73,5.61,14.99,cw,10.0,35.0,400.0,0,1,0.9661,0.574
5,16.0,16.0,317.78,327.78,0,1,11.85,-10.75,13.54,-8.53,ccw,10.0,35.0,400.0,1,1,1.2837,0.958
6,20.0,20.0,350.45,0.45,0,1,19.72,-3.32,20.0,0.16,ccw,10.0,35.0,400.0,0,0,1.1801,0.774
7,20.0,20.0,74.99,64.99,115,0,5.18,19.32,8.46,18.12,cw,10.0,10.0,400.0,0,1,0.9687,0.409
8,20.0,20.0,85.51,75.51,0,1,1.57,19.94,5.01,19.36,cw,10.0,10.0,400.0,0,0,0.8938,0.41
9,6.0,6.0,83.11,73.11,0,1,0.72,5.96,1.74,5.74,cw,10.0,35.0,400.0,0,0,1.16,0.482
10,3.0,3.0,185.73,195.73,115,0,-2.99,-0.3,-2.89,-0.81,ccw,10.0,35.0,400.0,0,1,0.8334,0.815
11,12.0,12.0,329.4,339.4,0,1,10.33,-6.11,11.23,-4.22,ccw,10.0,35.0,400.0,1,1,0.9012,1.277
12,3.0,3.0,9.26,359.26,0,1,2.96,0.48,3.0,-0.04,cw,10.0,35.0,400.0,1,1,2.1893,0.916
13,3.0,3.0,36.84,26.84,0,1,2.4,1.8,2.68,1.35,cw,10.0,35.0,400.0,0,0,1.3281,1.812
14,20.0,20.0,34.43,24.43,0,1,16.5,11.31,18.21,8.27,cw,10.0,35.0,400.0,1,1,1.0614,0.54
15,20.0,20.0,57.65,47.65,115,0,10.7,16.9,13.47,14.78,cw,10.0,18.049,400.0,0,1,0.9263,1.136
16,6.0,6.0,262.01,252.01,140,0,-0.83,-5.94,-1.85,-5.71,cw,10.0,35.0,400.0,0,1,0.7984,0.186
17,3.0,3.0,211.99,201.99,0,1,-2.54,-1.59,-2.78,-1.12,cw,10.0,35.0,400.0,1,1,1.031,0.72
18,16.0,16.0,232.87,222.87,0,1,-9.66,-12.76,-11.73,-10.89,cw,10.0,35.0,400.0,0,0,1.7374,2.163
19,16.0,16.0,68.84,78.84,140,0,5.78,14.92,3.1,15.7,ccw,10.0,35.0,400.0,0,1,0.832,3.582
20,12.0,12.0,70.22,80.22,0,1,4.06,11.29,2.04,11.83,ccw,10.0,35.0,400.0,1,1,0.9256,0.265
21,6.0,6.0,317.24,307.24,40,0,4.41,-4.07,3.63,-4.78,cw,10.0,35.0,400.0,0,1,0.7672,0.338
22,12.0,12.0,190.28,200.28,40,0,-11.81,-2.14,-11.26,-4.16,ccw,10.0,35.0,400.0,0,1,0.8202,0.879
23,20.0,20.0,242.72,232.72,65,0,-9.17,-17.78,-12.11,-15.91,cw,10.0,10.0,400.0,0,1,1.1286,0.162
24,20.0,20.0,223.43,213.43,0,1,-14.52,-13.75,-16.69,-11.02,cw,10.0,35.0,400.0,0,0,1.077,0.45
25,3.0,3.0,80.46,90.46,0,1,0.5,2.96,-0.02,3.0,ccw,10.0,35.0,400.0,1,1,0.8583,0.386
26,12.0,12.0,305.28,315.28,115,0,6.93,-9.8,8.53,-8.44,ccw,10.0,35.0,400.0,0,1,0.796,0.274
27,20.0,20.0,199.04,189.04,0,1,-18.91,-6.53,-19.75,-3.14,cw,10.0,35.0,400.0,0,0,1.6136,0.6
28,12.0,12.0,37.46,47.46,65,0,9.53,7.3,8.11,8.84,ccw,10.0,35.0,400.0,0,1,0.7375,0.606
29,3.0,3.0,311.28,321.28,115,0,1.98,-2.25,2.34,-1.88,ccw,10.0,35.0,400.0,0,1,0.7425,0.334
30,20.0,20.0,75.59,85.59,65,0,4.98,19.37,1.54,19.94,ccw,10.0,10.0,400.0,0,1,0.8264,0.331
31,20.0,20.0,20.66,10.66,0,1,18.71,7.06,19.65,3.7,cw,10.0,35.0,400.0,0,0,0.9214,0.413
32,12.0,12.0,177.49,187.49,0,1,-11.99,0.53,-11.9,-1.56,ccw,10.0,35.0,400.0,1,1,0.7967,0.224
33,6.0,6.0,268.77,258.77,0,1,-0.13,-6.0,-1.17,-5.89,cw,10.0,35.0,400.0,1,1,0.839,0.458
34,16.0,16.0,214.2,224.2,0,1,-13.23,-8.99,-11.47,-11.16,ccw,10.0,35.0,400.0,0,0,1.1097,0.27
35,20.0,20.0,113.29,103.29,65,0,-7.91,18.37,-4.6,19.46,cw,10.0,10.0,400.0,0,1,0.8512,0.944
36,20.0,20.0,167.15,177.15,0,1,-19.5,4.45,-19.98,0.99,ccw,10.0,35.0,400.0,1,1,1.0718,0.441
37,16.0,16.0,199.42,209.42,0,1,-15.09,-5.32,-13.94,-7.86,ccw,10.0,35.0,400.0,0,0,1.1691,1.492
38,12.0,12.0,140.14,130.14,0,1,-9.21,7.69,-7.74,9.17,cw,10.0,35.0,400.0,1,1,0.9297,1.111
39,12.0,12.0,88.76,98.76,65,0,0.26,12.0,-1.83,11.86,ccw,10.0,35.0,400.0,0,1,0.7688,3.548
40,12.0,12.0,60.22,70.22,40,0,5.96,10.42,4.06,11.29,ccw,10.0,35.0,400.0,0,1,0.9005,2.347
41,6.0,6.0,300.06,290.06,0,1,3.01,-5.19,2.06,-5.64,cw,10.0,35.0,400.0,1,1,0.7986,1.599
42,16.0,16.0,324.48,334.48,0,1,13.02,-9.3,14.44,-6.89,ccw,10.0,35.0,400.0,1,1,1.0123,2.064
43,16.0,16.0,130.99,120.99,115,0,-10.5,12.08,-8.24,13.72,cw,10.0,35.0,400.0,0,1,0.7886,2.115
44,16.0,16.0,140.2,130.2,0,1,-12.29,10.24,-10.33,12.22,cw,10.0,35.0,400.0,0,0,0.7846,2.124
45,16.0,16.0,359.86,9.86,0,1,16.0,-0.04,15.76,2.74,ccw,10.0,35.0,400.0,1,1,0.7401,1.006
46,20.0,20.0,21.52,31.52,140,0,18.61,7.33,17.05,10.45,ccw,10.0,35.0,400.0,0,1,0.9476,1.747
47,20.0,20.0,155.07,145.07,40,0,-18.14,8.43,-16.4,11.45,cw,10.0,35.0,400.0,0,1,1.1897,1.025
48,6.0,6.0,1.61,351.61,0,1,6.0,0.17,5.94,-0.88,cw,10.0,35.0,400.0,1,1,0.7309,0.394
49,16.0,16.0,234.28,244.28,0,1,-9.34,-12.99,-6.94,-14.41,ccw,10.0,35.0,400.0,0,0,0.9473,0.362
50,3.0,3.0,259.44,249.44,115,0,-0.55,-2.95,-1.05,-2.81,cw,10.0,35.0,400.0,0,1,0.8541,0.214
51,20.0,20.0,248.72,258.72,115,0,-7.26,-18.64,-3.91,-19.61,ccw,10.0,10.0,400.0,0,1,0.8807,0.265
52,20.0,20.0,220.49,230.49,140,0,-15.21,-12.99,-12.72,-15.43,ccw,10.0,35.0,400.0,0,1,1.0343,0.365
53,12.0,12.0,137.52,147.52,0,1,-8.85,8.1,-10.12,6.44,ccw,10.0,35.0,400.0,1,1,0.7962,0.431
54,6.0,6.0,258.41,248.41,0,1,-1.21,-5.88,-2.21,-5.58,cw,10.0,35.0,400.0,1,1,1.0867,0.576
55,3.0,3.0,310.5,300.5,0,1,1.95,-2.28,1.52,-2.58,cw,10.0,35.0,400.0,1,1,0.7953,0.357
56,20.0,20.0,60.65,50.65,0,1,9.8,17.43,12.68,15.47,cw,10.0,10.0,400.0,0,0,0.8434,0.837
57,6.0,6.0,67.6,57.6,0,1,2.29,5.55,3.21,5.07,cw,10.0,35.0,400.0,0,0,1.8219,0.738
58,3.0,3.0,198.14,208.14,0,1,-2.85,-0.93,-2.65,-1.41,ccw,10.0,35.0,400.0,1,1,0.7658,0.311
59,6.0,6.0,107.04,97.04,115,0,-1.76,5.74,-0.74,5.95,cw,10.0,35.0,400.0,0,1,0.8095,0.282
60,6.0,6.0,68.31,78.31,40,0,2.22,5.58,1.22,5.88,ccw,10.0,35.0,400.0,0,1,0.752,0.556
61,20.0,20.0,262.51,272.51,0,1,-2.61,-19.83,0.87,-19.98,ccw,10.0,10.0,400.0,0,0,0.8432,0.468
62,12.0,12.0,128.68,138.68,115,0,-7.5,9.37,-9.01,7.92,ccw,10.0,35.0,400.0,0,1,0.7595,0.356
63,12.0,12.0,113.62,103.62,40,0,-4.81,10.99,-2.83,11.66,cw,10.0,35.0,400.0,0,1,0.7537,0.567
64,12.0,12.0,140.52,130.52,115,0,-9.26,7.63,-7.8,9.12,cw,10.0,35.0,400.0,0,1,0.768,0.554
65,16.0,16.0,110.86,120.86,0,1,-5.7,14.95,-8.21,13.73,ccw,10.0,35.0,400.0,1,1,0.8722,0.235
66,20.0,20.0,65.1,55.1,115,0,8.42,18.14,11.44,16.4,cw,10.0,10.0,400.0,0,1,0.9418,0.772
67,20.0,20.0,33.4,43.4,40,0,16.7,11.01,14.53,13.74,ccw,10.0,35.0,400.0,0,1,0.8019,0.392
