trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,3.0,3.0,214.39,224.39,0,1,-2.48,-1.69,-2.14,-2.1,ccw,10.0,35.0,300.0,1,1,0.7727,0.346
2,6.0,6.0,314.05,304.05,0,1,4.17,-4.31,3.36,-4.97,cw,10.0,35.0,300.0,1,1,0.9667,0.223
3,6.0,6.0,242.67,252.67,0,1,-2.75,-5.33,-1.79,-5.73,ccw,10.0,35.0,300.0,1,1,0.6741,0.108
4,16.0,16.0,91.23,81.23,115,0,-0.34,16.0,2.44,15.81,cw,10.0,35.0,300.0,0,1,0.8716,0.401
5,3.0,3.0,293.03,283.03,65,0,1.17,-2.76,0.68,-2.92,cw,10.0,35.0,300.0,0,1,0.7339,0.212
6,6.0,6.0,51.55,41.55,65,0,3.73,4.7,4.49,3.98,cw,10.0,35.0,300.0,0,1,0.7692,0.242
7,12.0,12.0,342.47,352.47,0,1,11.44,-3.61,11.9,-1.57,ccw,10.0,35.0,300.0,1,1,0.7628,0.357
8,3.0,3.0,22.11,32.11,0,1,2.78,1.13,2.54,1.59,ccw,10.0,35.0,300.0,1,1,0.6624,0.162
9,20.0,20.0,286.34,276.34,115,0,5.63,-19.19,2.21,-19.88,cw,10.0,10.0,300.0,0,1,0.9651,0.204
10,16.0,16.0,16.12,6.12,0,1,15.37,4.44,15.91,1.71,cw,10.0,35.0,300.0,1,1,0.8039,0.271
11,3.0,3.0,217.81,227.81,65,0,-2.37,-1.84,-2.01,-2.22,ccw,10.0,35.0,300.0,0,1,0.6465,0.283
12,6.0,6.0,188.75,178.75,0,1,-5.93,-0.91,-6.0,0.13,cw,10.0,35.0,300.0,1,1,0.9528,0.262
13,6.0,6.0,207.9,217.9,65,0,-5.3,-2.81,-4.73,-3.69,ccw,10.0,35.0,300.0,0,1,0.853,0.524
14,16.0,16.0,305.38,315.38,0,1,9.26,-13.05,11.39,-11.24,ccw,10.0,35.0,300.0,1,1,0.8074,0.077
15,20.0,20.0,57.12,47.12,65,0,10.86,16.8,13.61,14.66,cw,10.0,26.479,300.0,0,1,0.9208,0.177
16,6.0,6.0,310.35,300.35,115,0,3.88,-4.57,3.03,-5.18,cw,10.0,35.0,300.0,0,1,0.7299,0.231
17,20.0,20.0,27.65,37.65,65,0,17.72,9.28,15.83,12.22,ccw,10.0,35.0,300.0,0,1,0.7434,0.436
18,3.0,3.0,297.98,307.98,140,0,1.41,-2.65,1.85,-2.36,ccw,10.0,35.0,300.0,0,1,0.7315,0.288
19,12.0,12.0,25.53,35.53,0,1,10.83,5.17,9.77,6.97,ccw,10.0,35.0,300.0,1,1,0.7606,0.374
20,3.0,3.0,23.21,13.21,0,1,2.76,1.18,2.92,0.69,cw,10.0,35.0,300.0,1,1,0.606,0.379
21,16.0,16.0,95.17,105.17,0,1,-1.44,15.93,-4.19,15.44,ccw,10.0,35.0,300.0,1,1,0.9911,0.378
22,12.0,12.0,259.48,269.48,0,1,-2.19,-11.8,-0.11,-12.0,ccw,10.0,35.0,300.0,1,1,1.2623,0.39
23,20.0,20.0,91.36,81.36,0,1,-0.48,19.99,3.0,19.77,cw,10.0,10.0,300.0,0,0,0.8047,0.524
24,12.0,12.0,230.59,240.59,0,1,-7.62,-9.27,-5.89,-10.45,ccw,10.0,35.0,300.0,1,1,0.8167,0.197
25,16.0,16.0,42.89,32.89,140,0,11.72,10.89,13.44,8.69,cw,10.0,35.0,300.0,0,1,0.8507,0.483
26,20.0,20.0,38.76,28.76,140,0,15.6,12.52,17.53,9.62,cw,10.0,35.0,300.0,0,1,1.0938,0.519
27,12.0,12.0,346.89,356.89,140,0,11.69,-2.72,11.98,-0.65,ccw,10.0,35.0,300.0,0,1,0.9503,0.497
28,6.0,6.0,139.5,149.5,140,0,-4.56,3.9,-5.17,3.05,ccw,10.0,35.0,300.0,0,1,0.7758,0.372
29,20.0,20.0,34.05,44.05,0,1,16.57,11.2,14.37,13.91,ccw,10.0,35.0,300.0,1,1,0.8454,0.079
30,20.0,20.0,68.55,78.55,0,1,7.31,18.61,3.97,19.6,ccw,10.0,10.0,300.0,0,0,0.8273,0.087
31,12.0,12.0,350.24,0.24,0,1,11.83,-2.03,12.0,0.05,ccw,10.0,35.0,300.0,1,1,0.7968,0.315
32,20.0,20.0,99.7,109.7,0,1,-3.37,19.71,-6.74,18.83,ccw,10.0,10.0,300.0,0,0,1.0609,1.152
33,6.0,6.0,193.23,183.23,65,0,-5.84,-1.37,-5.99,-0.34,cw,10.0,35.0,300.0,0,1,0.8733,0.5
34,3.0,3.0,37.4,27.4,140,0,2.38,1.82,2.66,1.38,cw,10.0,35.0,300.0,0,1,0.849,0.481
35,3.0,3.0,244.65,254.65,40,0,-1.28,-2.71,-0.79,-2.89,ccw,10.0,35.0,300.0,0,1,0.7676,0.557
36,20.0,20.0,44.78,34.78,0,1,14.2,14.09,16.43,11.41,cw,10.0,35.0,300.0,1,1,0.7636,0.354
37,12.0,12.0,304.38,314.38,115,0,6.78,-9.9,8.39,-8.58,ccw,10.0,35.0,300.0,0,1,0.7852,0.497
38,20.0,20.0,341.84,331.84,0,1,19.0,-6.23,17.63,-9.44,cw,10.0,35.0,300.0,0,0,1.128,0.531
39,3.0,3.0,31.03,41.03,0,1,2.57,1.55,2.26,1.97,ccw,10.0,35.0,300.0,1,1,0.85,0.296
40,20.0,20.0,114.34,104.34,65,0,-8.24,18.22,-4.95,19.38,cw,10.0,10.0,300.0,0,1,0.8463,0.262
41,16.0,16.0,38.78,28.78,40,0,12.47,10.02,14.02,7.7,cw,10.0,35.0,300.0,0,1,0.8397,0.232
42,3.0,3.0,94.25,104.25,115,0,-0.22,2.99,-0.74,2.91,ccw,10.0,35.0,300.0,0,1,0.7801,0.083
43,20.0,20.0,342.96,332.96,115,0,19.12,-5.86,17.81,-9.09,cw,10.0,35.0,300.0,0,1,0.7781,0.142
44,16.0,16.0,30.79,20.79,140,0,13.74,8.19,14.96,5.68,cw,10.0,35.0,300.0,0,1,0.7445,0.18
45,16.0,16.0,24.53,34.53,0,1,14.56,6.64,13.18,9.07,ccw,10.0,35.0,300.0,1,1,0.7334,0.291
46,12.0,12.0,276.84,266.84,65,0,1.43,-11.91,-0.66,-11.98,cw,10.0,35.0,300.0,0,1,0.7718,0.072
47,6.0,6.0,89.51,79.51,0,1,0.05,6.0,1.09,5.9,cw,10.0,35.0,300.0,1,1,0.8628,0.438
48,6.0,6.0,191.99,201.99,40,0,-5.87,-1.25,-5.56,-2.25,ccw,10.0,35.0,300.0,0,1,0.8204,0.782
49,3.0,3.0,182.62,192.62,0,1,-3.0,-0.14,-2.93,-0.66,ccw,10.0,35.0,300.0,1,1,0.9088,0.142
50,20.0,20.0,321.98,331.98,0,1,15.76,-12.32,17.66,-9.4,ccw,10.0,35.0,300.0,1,1,0.8157,0.168
51,12.0,12.0,128.8,118.8,0,1,-7.52,9.35,-5.78,10.52,cw,10.0,35.0,300.0,1,1,1.0648,1.045
52,6.0,6.0,327.8,337.8,40,0,5.08,-3.2,5.56,-2.27,ccw,10.0,35.0,300.0,0,1,0.698,0.22
53,16.0,16.0,262.36,272.36,0,1,-2.13,-15.86,0.66,-15.99,ccw,10.0,35.0,300.0,1,1,0.9587,0.116
54,6.0,6.0,161.01,171.01,0,1,-5.67,1.95,-5.93,0.94,ccw,10.0,35.0,300.0,1,1,0.7636,0.113
55,6.0,6.0,94.81,104.81,0,1,-0.5,5.98,-1.53,5.8,ccw,10.0,35.0,300.0,1,1,0.7623,0.342
56,6.0,6.0,29.72,19.72,65,0,5.21,2.97,5.65,2.02,cw,10.0,35.0,300.0,0,1,0.7982,0.181
57,20.0,20.0,67.61,77.61,115,0,7.62,18.49,4.29,19.53,ccw,10.0,10.0,300.0,0,1,0.8171,0.864
58,12.0,12.0,4.09,354.09,0,1,11.97,0.86,11.94,-1.24,cw,10.0,35.0,300.0,1,1,0.6587,0.523
59,16.0,16.0,3.28,353.28,0,1,15.97,0.92,15.89,-1.87,cw,10.0,35.0,300.0,1,1,0.7272,0.265
60,12.0,12.0,262.24,272.24,40,0,-1.62,-11.89,0.47,-11.99,ccw,10.0,35.0,300.0,0,1,0.8574,0.444
61,12.0,12.0,72.27,62.27,140,0,3.65,11.43,5.58,10.62,cw,10.0,35.0,300.0,0,1,1.0205,0.565
62,20.0,20.0,348.74,338.74,65,0,19.61,-3.91,18.64,-7.25,cw,10.0,35.0,300.0,0,1,1.054,0.219
63,16.0,16.0,5.61,355.61,0,1,15.92,1.56,15.95,-1.23,cw,10.0,35.0,300.0,1,1,0.7791,0.483
64,16.0,16.0,66.69,76.69,115,0,6.33,14.69,3.68,15.57,ccw,10.0,35.0,300.0,0,1,0.7544,0.328
65,6.0,6.0,108.38,98.38,0,1,-1.89,5.69,-0.87,5.94,cw,10.0,35.0,300.0,1,1,0.7556,0.237
66,20.0,20.0,31.1,21.1,140,0,17.12,10.33,18.66,7.2,cw,10.0,35.0,300.0,0,1,0.8843,0.208
67,3.0,3.0,304.95,294.95,0,1,1.72,-2.46,1.27,-2.72,cw,10.0,35.0,300.0,1,1,0.747,0.429
68,20.0,20.0,308.59,298.59,65,0,12.48,-15.63,9.57,-17.56,cw,10.0,35.0,300.0,0,1,0.8293,0.204
69,6.0,6.0,205.67,195.67,0,1,-5.41,-2.6,-5.78,-1.62,cw,10.0,35.0,300.0,1,1,0.682,0.464
70,12.0,12.0,142.39,132.39,0,1,-9.51,7.32,-8.09,8.86,cw,10.0,35.0,300.0,1,1,0.7748,0.397
71,3.0,3.0,228.03,218.03,0,1,-2.01,-2.23,-2.36,-1.85,cw,10.0,35.0,300.0,1,1,0.9126,0.513
72,3.0,3.0,209.51,219.51,65,0,-2.61,-1.48,-2.31,-1.91,ccw,10.0,35.0,300.0,0,1,1.0502,0.554
73,16.0,16.0,235.28,225.28,65,0,-9.11,-13.15,-11.26,-11.37,cw,10.0,35.0,300.0,0,1,0.8338,0.457
