trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,6.0,6.0,91.84,101.84,140,0,-0.19,6.0,-1.23,5.87,ccw,10.0,35.0,0.0,0,1,1.1536,1.98
2,12.0,12.0,40.04,30.04,140,0,9.19,7.72,10.39,6.01,cw,10.0,35.0,0.0,0,1,0.861,0.765
3,6.0,6.0,299.31,289.31,40,0,2.94,-5.23,1.98,-5.66,cw,10.0,35.0,0.0,0,1,0.8836,1.604
4,3.0,3.0,256.89,246.89,0,1,-0.68,-2.92,-1.18,-2.76,cw,10.0,35.0,0.0,1,1,0.879,1.013
5,20.0,20.0,47.53,57.53,0,1,13.5,14.75,10.74,16.87,ccw,10.0,35.0,0.0,0,0,1.0019,2.101
6,3.0,3.0,215.34,205.34,0,1,-2.45,-1.74,-2.71,-1.28,cw,10.0,35.0,0.0,1,1,0.9612,2.222
7,20.0,20.0,226.28,216.28,0,1,-13.82,-14.46,-16.12,-11.84,cw,10.0,35.0,0.0,0,0,0.9856,0.193
8,12.0,12.0,83.93,93.93,115,0,1.27,11.93,-0.82,11.97,ccw,10.0,35.0,0.0,0,1,0.9997,3.938
9,6.0,6.0,294.03,284.03,0,1,2.44,-5.48,1.45,-5.82,cw,10.0,35.0,0.0,1,1,1.0276,2.108
10,12.0,12.0,333.67,343.67,140,0,10.75,-5.32,11.52,-3.37,ccw,10.0,35.0,0.0,0,1,1.0044,0.701
11,12.0,12.0,160.09,170.09,65,0,-11.28,4.09,-11.82,2.06,ccw,10.0,35.0,0.0,0,1,1.0443,0.586
12,6.0,6.0,141.3,151.3,0,1,-4.68,3.75,-5.26,2.88,ccw,10.0,35.0,0.0,1,1,1.0181,0.928
