trial,ecc_deg_intended,ecc_deg_actual,angle_start_deg,angle_end_deg,orientation_deg,stim_type,x_start_deg,y_start_deg,x_end_deg,y_end_deg,rot_dir,moved_angle_deg,gabor_px,stim_speed_px_s,response,correct,rt,CalibrationDrift(deg)
1,20.0,20.0,343.38,333.38,0,1,19.16,-5.72,17.88,-8.96,cw,10.0,35.0,0.0,1,1,0.8077,1.747
2,12.0,12.0,215.1,225.1,140,0,-9.82,-6.9,-8.47,-8.5,ccw,10.0,35.0,0.0,0,1,0.8161,0.471
3,16.0,16.0,270.76,280.76,65,0,0.21,-16.0,2.99,-15.72,ccw,10.0,35.0,0.0,0,1,1.1295,0.391
4,12.0,12.0,105.2,95.2,140,0,-3.15,11.58,-1.09,11.95,cw,10.0,35.0,0.0,0,1,0.8512,0.143
5,3.0,3.0,278.58,268.58,65,0,0.45,-2.97,-0.07,-3.0,cw,10.0,35.0,0.0,0,1,0.7762,0.37
6,3.0,3.0,163.35,153.35,0,1,-2.87,0.86,-2.68,1.35,cw,10.0,35.0,0.0,1,1,0.7849,0.31
7,20.0,20.0,261.84,251.84,115,0,-2.84,-19.8,-6.23,-19.0,cw,10.0,10.0,0.0,0,1,2.0781,0.355
8,3.0,3.0,38.34,28.34,115,0,2.35,1.86,2.64,1.42,cw,10.0,35.0,0.0,0,1,0.8271,0.309
9,12.0,12.0,99.07,89.07,0,1,-1.89,11.85,0.19,12.0,cw,10.0,35.0,0.0,1,1,0.7824,0.74
10,16.0,16.0,116.61,126.61,0,1,-7.17,14.3,-9.54,12.84,ccw,10.0,35.0,0.0,1,1,0.6805,0.571
11,12.0,12.0,231.56,221.56,0,1,-7.46,-9.4,-8.98,-7.96,cw,10.0,35.0,0.0,1,1,0.6933,0.65
12,20.0,20.0,130.31,140.31,140,0,-12.94,15.25,-15.39,12.77,ccw,10.0,35.0,0.0,0,1,0.9511,0.647
13,3.0,3.0,320.58,310.58,0,1,2.32,-1.91,1.95,-2.28,cw,10.0,35.0,0.0,1,1,0.7549,0.69
14,16.0,16.0,324.89,314.89,0,1,13.09,-9.2,11.29,-11.33,cw,10.0,35.0,0.0,1,1,0.6453,0.685
15,20.0,20.0,269.89,279.89,65,0,-0.04,-20.0,3.43,-19.7,ccw,10.0,10.0,0.0,1,0,1.0068,0.491
16,6.0,6.0,48.87,58.87,0,1,3.95,4.52,3.1,5.14,ccw,10.0,35.0,0.0,1,1,0.7372,0.642
17,12.0,12.0,291.63,301.63,115,0,4.42,-11.15,6.29,-10.22,ccw,10.0,35.0,0.0,0,1,0.8773,0.617
